WKT,Name,OBJECTID,UKATEGORIE,UTYP1,UART,UMONAT,USTUNDE,UWOCHENTAG,STRZUSTAND,ULICHTVERH,ISTRAD,ISTPKW,ISTFUSS,ISTKRAD,ISTGKFZ,ISTSONSTIG
"POINT (9.958072374000000 53.647666852000000)",Unfall 6794 (2016) Kat:3, Licht: 0,6794,3,7,4,02,09,7,,0,0,1,0,0,0,0
"POINT (10.032083524000001 53.543184742999998)",Unfall 6801 (2016) Kat:3, Licht: 0,6801,3,4,6,01,07,4,,0,0,1,1,0,0,0
"POINT (9.862687825000000 53.571892214000002)",Unfall 6802 (2016) Kat:3, Licht: 2,6802,3,4,6,03,20,6,,2,0,1,1,0,0,0
"POINT (10.134620364000000 53.526931421000000)",Unfall 6818 (2016) Kat:3, Licht: 2,6818,3,2,3,03,21,3,,2,0,1,0,0,1,0
"POINT (9.915644561000001 53.612210222999998)",Unfall 6829 (2016) Kat:3, Licht: 2,6829,3,6,2,02,19,2,,2,0,1,0,0,0,0
"POINT (10.202529648000001 53.491101430999997)",Unfall 6836 (2016) Kat:3, Licht: 0,6836,3,3,5,02,12,1,,0,0,1,0,0,0,0
"POINT (9.955595344000001 53.611660165000004)",Unfall 6843 (2016) Kat:3, Licht: 0,6843,3,6,2,04,17,4,,0,0,1,0,0,0,1
"POINT (9.954419989000000 53.427841698000002)",Unfall 6856 (2016) Kat:3, Licht: 2,6856,3,6,2,01,21,3,,2,0,1,0,0,0,0
"POINT (9.927309899000001 53.640178274999997)",Unfall 6857 (2016) Kat:3, Licht: 0,6857,3,6,2,03,16,5,,0,0,1,0,0,0,0
"POINT (9.950603091000000 53.562068897000003)",Unfall 6862 (2016) Kat:3, Licht: 0,6862,3,7,3,02,14,5,,0,0,1,0,0,0,0
"POINT (9.933789027000000 53.583021655000003)",Unfall 6873 (2016) Kat:3, Licht: 0,6873,3,6,2,01,13,7,,0,0,1,0,0,0,0
"POINT (10.218334535000000 53.487154216999997)",Unfall 6874 (2016) Kat:3, Licht: 0,6874,3,3,5,03,15,3,,0,1,1,0,0,0,0
"POINT (9.919003026000000 53.624513708000002)",Unfall 6892 (2016) Kat:3, Licht: 0,6892,3,6,2,02,13,6,,0,0,1,0,0,0,0
"POINT (10.059091162000000 53.550940011000002)",Unfall 6904 (2016) Kat:3, Licht: 2,6904,3,1,9,01,23,4,,2,0,1,0,0,0,0
"POINT (9.868704277999999 53.471676158999998)",Unfall 6910 (2016) Kat:3, Licht: 1,6910,3,6,2,02,17,4,,1,0,1,0,0,0,0
"POINT (9.977675703999999 53.587623505000003)",Unfall 6913 (2016) Kat:3, Licht: 0,6913,3,6,2,04,13,1,,0,0,1,0,0,0,0
"POINT (10.056848741000000 53.509297789000001)",Unfall 6926 (2016) Kat:3, Licht: 2,6926,3,6,3,01,17,2,,2,0,1,0,0,1,0
"POINT (9.964487554000000 53.555645155999997)",Unfall 6927 (2016) Kat:3, Licht: 0,6927,3,3,5,03,15,7,,0,1,1,0,0,0,0
