WKT,Name,OBJECTID,UKATEGORIE,UTYP1,UART,UMONAT,USTUNDE,UWOCHENTAG,STRZUSTAND,ULICHTVERH,ISTRAD,ISTPKW,ISTFUSS,ISTKRAD
"POINT (9.102863850000000 49.195221527999998)","Unfall 26390 (2016) Kat:3 Licht:0",26390,3,6,2,03,09,2,,0,0,1,0,0
"POINT (9.221804789000000 49.168427876999999)","Unfall 26406 (2016) Kat:3 Licht:0",26406,3,6,2,03,16,6,,0,0,1,0,0
"POINT (9.202277222999999 49.176425403000003)","Unfall 26408 (2016) Kat:3 Licht:0",26408,3,1,0,03,13,5,,0,0,0,0,1
"POINT (9.184610749000001 49.187786869999996)","Unfall 26461 (2016) Kat:2 Licht:2",26461,2,4,6,03,19,2,,2,0,1,1,0
"POINT (9.209467075999999 49.169409191000000)","Unfall 26531 (2016) Kat:3 Licht:2",26531,3,3,0,03,04,3,,2,1,0,0,0
"POINT (9.225448423000000 49.168009771999998)","Unfall 26573 (2016) Kat:3 Licht:0",26573,3,7,2,03,10,5,,0,0,1,0,0
"POINT (9.225002710000000 49.171820220000001)","Unfall 26655 (2016) Kat:3 Licht:0",26655,3,1,0,03,14,4,,0,0,0,0,1
"POINT (9.216520668999999 49.184074635999998)","Unfall 26683 (2016) Kat:3 Licht:2",26683,3,6,2,03,18,5,,2,0,1,0,0
"POINT (9.216887453000000 49.169407845000002)","Unfall 26810 (2016) Kat:3 Licht:0",26810,3,6,2,03,14,7,,0,0,1,0,0
"POINT (9.224551823000001 49.168056692000000)","Unfall 26929 (2016) Kat:3 Licht:0",26929,3,7,3,03,18,3,,0,0,1,0,0
"POINT (9.122158397000000 49.179652674000003)","Unfall 27043 (2016) Kat:3 Licht:0",27043,3,6,1,03,16,5,,0,0,1,0,0
"POINT (9.229267632000001 49.136950312000003)","Unfall 27151 (2016) Kat:3 Licht:0",27151,3,7,1,04,07,5,,0,1,1,0,0
"POINT (9.218112044000000 49.131857615999998)","Unfall 27157 (2016) Kat:3 Licht:0",27157,3,3,5,04,13,1,,0,0,1,0,0
"POINT (9.213673925000000 49.142587968000001)","Unfall 27231 (2016) Kat:3 Licht:0",27231,3,6,6,04,16,3,,0,1,0,1,0
"POINT (9.145799380000000 49.112984195000003)","Unfall 27334 (2016) Kat:3 Licht:0",27334,3,6,0,03,14,5,,0,0,1,0,0
"POINT (9.199525490999999 49.152531666000002)","Unfall 27356 (2016) Kat:3 Licht:0",27356,3,3,5,04,12,1,,0,0,1,0,0
"POINT (9.235868277000000 49.109423726000003)","Unfall 27382 (2016) Kat:1 Licht:2",27382,1,6,4,03,20,3,,2,0,1,0,0
"POINT (9.204018554999999 49.126651510999999)","Unfall 27462 (2016) Kat:3 Licht:0",27462,3,6,2,04,11,7,,0,0,1,0,0
"POINT (9.106958264999999 49.193866802000002)","Unfall 27548 (2016) Kat:3 Licht:0",27548,3,6,2,04,18,6,,0,0,1,0,0
"POINT (9.188046289000001 49.127253119000002)","Unfall 27558 (2016) Kat:3 Licht:2",27558,3,3,5,04,22,4,,2,0,1,0,0
"POINT (9.219983481000000 49.132182569999998)","Unfall 27707 (2016) Kat:3 Licht:0",27707,3,6,1,04,07,3,,0,0,1,0,1
"POINT (9.224961034000000 49.156851607000000)","Unfall 27740 (2016) Kat:3 Licht:0",27740,3,6,2,04,13,6,,0,0,1,0,0
"POINT (9.223548890000000 49.146238044000000)","Unfall 27787 (2016) Kat:3 Licht:0",27787,3,4,6,04,15,6,,0,0,1,1,0
"POINT (9.203554580000001 49.151968087999997)","Unfall 27823 (2016) Kat:2 Licht:0",27823,2,6,2,04,08,3,,0,0,1,0,0
"POINT (9.216347517000001 49.120198283000001)","Unfall 27896 (2016) Kat:3 Licht:0",27896,3,3,5,04,11,7,,0,0,1,0,1
"POINT (9.222444511000001 49.123274680999998)","Unfall 27916 (2016) Kat:3 Licht:0",27916,3,3,5,04,13,4,,0,1,1,0,0
"POINT (9.196749642000000 49.141840887999997)","Unfall 27928 (2016) Kat:3 Licht:0",27928,3,2,6,04,11,3,,0,0,0,1,0
"POINT (9.193723901000000 49.186101788999999)","Unfall 27973 (2016) Kat:2 Licht:1",27973,2,2,4,04,06,7,,1,0,1,0,0
"POINT (9.214359526000001 49.135974550000000)","Unfall 27978 (2016) Kat:3 Licht:0",27978,3,6,2,04,16,3,,0,0,1,0,0
"POINT (9.090297759000000 49.196682611999996)","Unfall 28012 (2016) Kat:2 Licht:0",28012,2,3,5,04,07,3,,0,0,1,0,0
"POINT (9.203684192000001 49.126545184999998)","Unfall 28040 (2016) Kat:3 Licht:0",28040,3,1,3,04,07,2,,0,0,1,0,1
"POINT (9.189228014999999 49.188117476999999)","Unfall 28057 (2016) Kat:3 Licht:0",28057,3,6,2,04,12,6,,0,0,1,0,0
"POINT (9.218961652000001 49.169049450000003)","Unfall 28181 (2016) Kat:3 Licht:0",28181,3,3,5,04,14,7,,0,0,1,0,0
"POINT (9.226704384000000 49.133992128999999)","Unfall 28279 (2016) Kat:3 Licht:2",28279,3,3,5,04,06,4,,2,1,1,0,0
"POINT (9.223764664999999 49.127230023999999)","Unfall 28358 (2016) Kat:3 Licht:0",28358,3,6,2,04,07,3,,0,0,1,0,0
"POINT (9.228970905000001 49.134694080000003)","Unfall 28383 (2016) Kat:3 Licht:0",28383,3,3,5,04,07,2,,0,1,1,0,0
"POINT (9.229593484000001 49.139894415999997)","Unfall 28386 (2016) Kat:3 Licht:0",28386,3,6,2,04,14,2,,0,0,1,0,1
"POINT (9.174884548000000 49.156450911999997)","Unfall 28437 (2016) Kat:3 Licht:0",28437,3,6,2,04,17,5,,0,0,1,0,0
"POINT (9.199978741000001 49.145822226999996)","Unfall 28539 (2016) Kat:3 Licht:0",28539,3,6,2,04,10,4,,0,0,1,0,0
"POINT (9.162395159000001 49.188554752999998)","Unfall 28675 (2016) Kat:3 Licht:0",28675,3,6,2,04,12,6,,0,0,1,0,0
"POINT (9.218656701000001 49.170794927999999)","Unfall 28705 (2016) Kat:3 Licht:0",28705,3,3,5,04,14,6,,0,1,1,0,0
"POINT (9.219160802999999 49.167397370000003)","Unfall 28796 (2016) Kat:3 Licht:0",28796,3,4,6,04,14,6,,0,0,1,1,0
"POINT (9.216020629999999 49.118960676999997)","Unfall 28804 (2016) Kat:3 Licht:0",28804,3,3,5,05,16,4,,0,1,1,0,0
"POINT (9.182808259000000 49.188891937000001)","Unfall 29014 (2016) Kat:3 Licht:0",29014,3,6,2,05,14,2,,0,0,1,0,0
"POINT (9.224184318000001 49.155305278999997)","Unfall 29046 (2016) Kat:3 Licht:2",29046,3,6,1,05,21,2,,2,0,1,0,0
"POINT (9.116019118000001 49.189827057999999)","Unfall 29078 (2016) Kat:3 Licht:0",29078,3,1,8,05,13,3,,0,0,1,0,0
"POINT (9.135832722000000 49.188337320999999)","Unfall 29120 (2016) Kat:2 Licht:0",29120,2,3,5,05,10,2,,0,0,0,0,1
"POINT (9.219896675999999 49.132102775000000)","Unfall 29234 (2016) Kat:2 Licht:1",29234,2,1,8,05,05,5,,1,0,1,0,0
"POINT (9.221199726000000 49.146463773999997)","Unfall 29252 (2016) Kat:3 Licht:2",29252,3,7,0,05,00,5,,2,0,1,0,0
"POINT (9.172064205000000 49.159149597000003)","Unfall 29337 (2016) Kat:3 Licht:0",29337,3,1,1,05,06,1,,0,0,1,0,0
"POINT (9.229476784999999 49.138951136999999)","Unfall 29496 (2016) Kat:3 Licht:0",29496,3,6,2,05,17,3,,0,0,1,0,0
"POINT (9.199989162000000 49.185973318000002)","Unfall 29599 (2016) Kat:3 Licht:0",29599,3,6,3,05,16,4,,0,0,1,0,0
"POINT (9.227897473000001 49.133073471000003)","Unfall 29642 (2016) Kat:3 Licht:0",29642,3,3,5,05,07,3,,0,1,1,0,0
"POINT (9.217084867000001 49.125824958000003)","Unfall 29817 (2016) Kat:3 Licht:1",29817,3,3,2,05,19,2,,1,0,1,0,0
"POINT (9.197295974999999 49.168360043000000)","Unfall 29835 (2016) Kat:3 Licht:0",29835,3,2,6,05,11,2,,0,0,1,1,0
"POINT (9.184418000000001 49.146235212999997)","Unfall 29995 (2016) Kat:3 Licht:0",29995,3,3,0,05,16,2,,0,1,1,0,0
"POINT (9.101200938000000 49.184282762000002)","Unfall 30006 (2016) Kat:3 Licht:0",30006,3,7,9,05,06,6,,0,0,1,0,0
"POINT (9.121893069000000 49.187588247999997)","Unfall 30077 (2016) Kat:2 Licht:0",30077,2,6,9,05,18,6,,0,0,1,0,0
"POINT (9.213503897000001 49.148284050999997)","Unfall 30150 (2016) Kat:3 Licht:0",30150,3,1,8,05,12,2,,0,0,1,0,0
"POINT (9.194273065999999 49.122038885999999)","Unfall 30247 (2016) Kat:3 Licht:2",30247,3,7,6,05,22,4,,2,1,0,1,0
"POINT (9.210875035999999 49.169597469999999)","Unfall 30411 (2016) Kat:3 Licht:0",30411,3,3,5,05,12,2,,0,0,1,0,0
"POINT (9.212371094000000 49.169719086000001)","Unfall 30531 (2016) Kat:3 Licht:0",30531,3,6,3,05,10,6,,0,0,1,0,0
"POINT (9.159512676000000 49.140283894000000)","Unfall 30679 (2016) Kat:3 Licht:0",30679,3,3,5,06,17,3,,0,0,1,0,0
"POINT (9.214544093000001 49.130251225000002)","Unfall 30705 (2016) Kat:3 Licht:0",30705,3,2,5,06,12,6,,0,0,1,0,0
"POINT (9.158898292000000 49.189664065999999)","Unfall 30871 (2016) Kat:2 Licht:0",30871,2,7,4,06,06,3,,0,0,1,0,0
"POINT (9.197880466999999 49.131310487000000)","Unfall 31064 (2016) Kat:1 Licht:2",31064,1,4,6,06,22,5,,2,0,1,1,0
"POINT (9.161198529000000 49.167311978999997)","Unfall 31068 (2016) Kat:2 Licht:0",31068,2,2,5,06,08,3,,0,0,1,0,1
"POINT (9.201705861000001 49.182067858000003)","Unfall 31109 (2016) Kat:3 Licht:0",31109,3,1,2,06,19,5,,0,0,1,0,1
"POINT (9.210037254000000 49.169543124999997)","Unfall 31198 (2016) Kat:3 Licht:0",31198,3,2,4,06,14,6,,0,0,1,0,1
"POINT (9.224685710999999 49.128770795999998)","Unfall 31272 (2016) Kat:3 Licht:0",31272,3,3,5,06,19,4,,0,1,1,0,0
"POINT (9.217897218999999 49.130990134999998)","Unfall 31467 (2016) Kat:2 Licht:0",31467,2,7,6,06,10,5,,0,0,1,1,0
"POINT (9.212307484000000 49.136754881999998)","Unfall 31520 (2016) Kat:3 Licht:0",31520,3,6,2,06,10,6,,0,0,1,0,0
"POINT (9.214677574000000 49.116164267999999)","Unfall 31540 (2016) Kat:3 Licht:0",31540,3,7,0,06,13,5,,0,1,0,0,0
