WKT,Name,OBJECTID,UKATEGORIE,UTYP1,UART,UMONAT,USTUNDE,UWOCHENTAG,STRZUSTAND,ULICHTVERH,ISTRAD,ISTPKW,ISTFUSS,ISTKRAD,ISTGKFZ,ISTSONSTIG
"POINT (7.455240061000040 51.472222761000069)",Unfall 97859 (2019) Kat:2, Licht: 0,97859,2,7,4,01,09,6,0,0,0,1,0,0,1,0
"POINT (7.574993750000033 51.558426820000079)",Unfall 97860 (2019) Kat:3, Licht: 2,97860,3,1,9,01,21,6,1,2,0,1,0,0,0,0
"POINT (7.464521631000025 51.517844399000069)",Unfall 97862 (2019) Kat:3, Licht: 2,97862,3,3,5,01,21,6,1,2,0,1,0,0,0,0
"POINT (7.365372073000060 51.539733468000065)",Unfall 97867 (2019) Kat:2, Licht: 1,97867,2,6,1,01,17,6,1,1,0,1,0,0,0,0
"POINT (7.430203911000035 51.511551858000075)",Unfall 97924 (2019) Kat:3, Licht: 0,97924,3,3,0,01,13,5,1,0,0,1,0,1,0,0
"POINT (7.470698795000033 51.524673500000063)",Unfall 97988 (2019) Kat:3, Licht: 1,97988,3,6,1,01,18,1,0,1,0,1,0,0,0,0
"POINT (7.530415140000059 51.522362617000056)",Unfall 98057 (2019) Kat:3, Licht: 0,98057,3,6,1,01,15,4,0,0,0,1,0,0,0,1
"POINT (7.459890073000054 51.505947164000077)",Unfall 98058 (2019) Kat:3, Licht: 0,98058,3,6,4,01,11,4,0,0,0,1,0,0,0,1
"POINT (7.365703312000051 51.525516723000067)",Unfall 98082 (2019) Kat:3, Licht: 2,98082,3,4,6,01,20,7,1,2,0,1,1,0,0,0
"POINT (7.475797345000046 51.525242436000042)",Unfall 98083 (2019) Kat:3, Licht: 2,98083,3,6,2,01,19,7,1,2,0,1,0,0,0,0
"POINT (7.467366826000045 51.492759146000026)",Unfall 98086 (2019) Kat:3, Licht: 2,98086,3,6,2,01,17,7,1,2,0,1,0,0,0,1
"POINT (7.468300315000022 51.509905952000054)",Unfall 98088 (2019) Kat:3, Licht: 0,98088,3,2,4,01,16,7,1,0,0,1,0,0,0,0
"POINT (7.505414997000059 51.481036978000077)",Unfall 98260 (2019) Kat:3, Licht: 0,98260,3,7,0,01,10,4,2,0,0,0,0,1,0,0
"POINT (7.595192759000042 51.482034470000031)",Unfall 98261 (2019) Kat:3, Licht: 2,98261,3,1,1,01,19,4,1,2,0,1,0,0,0,0
"POINT (7.472226902000045 51.558582640000054)",Unfall 98262 (2019) Kat:3, Licht: 0,98262,3,3,5,01,14,4,1,0,0,1,0,0,0,0
"POINT (7.443938780000053 51.495340068000075)",Unfall 98263 (2019) Kat:3, Licht: 1,98263,3,6,1,01,17,4,2,1,0,1,0,0,0,0
"POINT (7.488385055000038 51.513688665000075)",Unfall 98398 (2019) Kat:2, Licht: 0,98398,2,4,6,01,11,3,1,0,0,0,1,0,0,1
"POINT (7.528390569000067 51.566814783000041)",Unfall 98401 (2019) Kat:3, Licht: 2,98401,3,6,4,01,05,3,2,2,0,1,0,0,0,1
"POINT (7.548083887000075 51.473199562000048)",Unfall 98423 (2019) Kat:3, Licht: 1,98423,3,6,1,01,17,3,0,1,0,1,0,0,0,0
"POINT (7.459107442000061 51.500927919000048)",Unfall 98530 (2019) Kat:3, Licht: 0,98530,3,6,2,01,09,5,1,0,0,1,0,0,0,0
"POINT (7.361614561000067 51.560505936000027)",Unfall 98571 (2019) Kat:3, Licht: 2,98571,3,1,8,01,00,5,2,2,0,1,0,0,0,0
"POINT (7.481605211000044 51.470381121000059)",Unfall 98587 (2019) Kat:3, Licht: 2,98587,3,2,1,01,19,2,1,2,0,1,0,0,0,0
"POINT (7.463851435000038 51.519213793000063)",Unfall 98588 (2019) Kat:3, Licht: 2,98588,3,6,3,01,20,2,1,2,0,1,0,0,0,0
"POINT (7.518072737000068 51.533893890000058)",Unfall 98618 (2019) Kat:3, Licht: 1,98618,3,6,0,02,06,3,0,1,0,1,0,0,1,0
"POINT (7.503520461000051 51.489017274000048)",Unfall 98680 (2019) Kat:3, Licht: 0,98680,3,7,8,02,13,5,0,0,0,1,0,0,0,0
"POINT (7.524269521000065 51.465320519000045)",Unfall 98682 (2019) Kat:2, Licht: 0,98682,2,7,6,02,12,5,0,0,0,1,1,0,0,0
"POINT (7.509787077000055 51.475148074000060)",Unfall 98697 (2019) Kat:3, Licht: 1,98697,3,7,0,02,18,2,1,1,0,1,1,0,0,0
"POINT (7.541946817000053 51.536212873000068)",Unfall 98698 (2019) Kat:3, Licht: 0,98698,3,6,2,02,12,2,0,0,0,1,0,0,0,1
"POINT (7.537516947000029 51.565658055000029)",Unfall 98701 (2019) Kat:3, Licht: 0,98701,3,6,2,02,09,2,1,0,0,1,0,0,0,0
"POINT (7.498106488000076 51.554229949000046)",Unfall 98703 (2019) Kat:3, Licht: 0,98703,3,6,2,02,09,2,1,0,0,0,0,0,1,0
"POINT (7.521656653000036 51.511678610000047)",Unfall 98707 (2019) Kat:3, Licht: 0,98707,3,6,2,02,15,5,0,0,0,1,0,0,0,0
"POINT (7.519994596000061 51.516900848000034)",Unfall 98737 (2019) Kat:3, Licht: 0,98737,3,7,0,02,10,2,1,0,0,1,0,0,1,0
"POINT (7.505771706000076 51.486152813000047)",Unfall 98881 (2019) Kat:2, Licht: 0,98881,2,2,5,02,12,4,0,0,1,1,0,0,0,0
"POINT (7.519149229000050 51.504778990000034)",Unfall 98882 (2019) Kat:3, Licht: 2,98882,3,6,1,02,18,4,0,2,0,1,0,0,0,0
"POINT (7.452716452000061 51.523930043000064)",Unfall 98895 (2019) Kat:2, Licht: 2,98895,2,2,6,02,17,7,1,2,0,1,1,0,0,0
"POINT (7.459251718000076 51.490766442000051)",Unfall 98896 (2019) Kat:3, Licht: 0,98896,3,6,5,02,11,7,1,0,0,1,0,0,0,0
"POINT (7.462798330000055 51.517316694000044)",Unfall 99064 (2019) Kat:3, Licht: 2,99064,3,3,5,02,18,3,0,2,1,1,0,0,0,0
"POINT (7.575917308000044 51.504810414000076)",Unfall 99067 (2019) Kat:3, Licht: 0,99067,3,3,5,02,13,6,1,0,0,1,0,0,0,0
"POINT (7.462270457000045 51.548634413000059)",Unfall 99071 (2019) Kat:3, Licht: 1,99071,3,2,6,02,18,6,0,1,0,1,1,0,0,0
"POINT (7.546864877000076 51.523630042000036)",Unfall 99163 (2019) Kat:3, Licht: 0,99163,3,4,6,02,13,4,0,0,0,1,1,0,0,0
"POINT (7.562012930000037 51.524744293000026)",Unfall 99165 (2019) Kat:3, Licht: 0,99165,3,3,5,02,11,4,0,0,0,1,0,0,0,1
"POINT (7.456488107000041 51.538590202000080)",Unfall 99168 (2019) Kat:3, Licht: 0,99168,3,3,0,02,12,4,0,0,0,0,0,1,0,1
"POINT (7.467394475000049 51.491857231000040)",Unfall 99170 (2019) Kat:3, Licht: 2,99170,3,6,2,02,18,4,0,2,0,1,0,0,0,1
"POINT (7.466793809000023 51.503694880000069)",Unfall 99171 (2019) Kat:3, Licht: 0,99171,3,3,5,02,16,4,0,0,1,1,0,0,0,0
"POINT (7.481411134000041 51.522777947000066)",Unfall 99214 (2019) Kat:3, Licht: 2,99214,3,4,6,02,18,7,1,2,0,1,1,0,0,0
"POINT (7.489234707000037 51.577477249000026)",Unfall 99245 (2019) Kat:3, Licht: 2,99245,3,6,3,02,19,7,0,2,0,1,0,0,0,0
"POINT (7.482342420000066 51.500752273000046)",Unfall 99326 (2019) Kat:3, Licht: 0,99326,3,3,5,02,10,3,1,0,0,1,0,0,0,0
"POINT (7.500741312000059 51.568945719000055)",Unfall 99355 (2019) Kat:3, Licht: 2,99355,3,6,2,02,18,3,0,2,0,1,0,0,0,1
"POINT (7.510391814000059 51.578496016000031)",Unfall 99358 (2019) Kat:3, Licht: 0,99358,3,7,0,02,13,3,0,0,0,0,0,0,0,1
"POINT (7.561412173000065 51.574034055000027)",Unfall 99400 (2019) Kat:3, Licht: 2,99400,3,3,5,02,18,6,0,2,1,1,0,0,0,0
"POINT (7.487739994000037 51.576832059000026)",Unfall 99416 (2019) Kat:3, Licht: 1,99416,3,6,2,02,07,6,0,1,0,1,0,0,0,0
"POINT (7.381078445000071 51.551157053000054)",Unfall 99483 (2019) Kat:3, Licht: 0,99483,3,2,2,02,17,2,0,0,0,1,0,0,0,0
"POINT (7.479050111000049 51.524351005000028)",Unfall 99485 (2019) Kat:3, Licht: 0,99485,3,6,2,02,15,2,1,0,0,1,0,0,0,0
"POINT (7.392433961000052 51.585036716000047)",Unfall 99523 (2019) Kat:3, Licht: 2,99523,3,6,2,02,18,2,1,2,0,1,0,0,0,0
"POINT (7.474557622000020 51.511817648000033)",Unfall 99611 (2019) Kat:2, Licht: 0,99611,2,7,6,02,13,2,0,0,0,1,1,0,0,0
"POINT (7.463894420000031 51.509991014000036)",Unfall 99612 (2019) Kat:3, Licht: 0,99612,3,6,3,02,08,2,0,0,0,1,0,0,0,0
"POINT (7.460283392000065 51.526497218000031)",Unfall 99731 (2019) Kat:3, Licht: 0,99731,3,6,3,02,16,6,0,0,0,1,0,1,0,0
"POINT (7.472455125000067 51.529286841000044)",Unfall 99732 (2019) Kat:3, Licht: 0,99732,3,3,5,02,14,6,0,0,1,1,0,0,0,0
"POINT (7.436873491000029 51.481949886000052)",Unfall 99806 (2019) Kat:3, Licht: 0,99806,3,2,1,02,12,1,0,0,0,1,0,0,0,0
"POINT (7.555564718000028 51.509246826000037)",Unfall 99810 (2019) Kat:3, Licht: 0,99810,3,2,4,02,12,1,0,0,0,1,0,0,0,0
"POINT (7.474133001000041 51.514834037000071)",Unfall 99812 (2019) Kat:2, Licht: 2,99812,2,4,6,02,20,1,0,2,0,1,1,0,0,0
"POINT (7.447025538000048 51.496818259000065)",Unfall 99814 (2019) Kat:3, Licht: 0,99814,3,3,5,02,17,1,0,0,1,1,0,0,0,0
"POINT (7.372738193000032 51.518211380000082)",Unfall 99952 (2019) Kat:3, Licht: 0,99952,3,6,2,02,11,5,0,0,0,1,0,0,0,0
"POINT (7.553431287000024 51.509931836000078)",Unfall 99954 (2019) Kat:3, Licht: 0,99954,3,1,9,02,13,5,0,0,0,0,0,1,0,0
"POINT (7.468154256000048 51.509893934000047)",Unfall 99957 (2019) Kat:3, Licht: 1,99957,3,6,5,02,07,5,0,1,0,1,0,0,0,0
"POINT (7.404447589000029 51.497036951000041)",Unfall 100008 (2019) Kat:2, Licht: 0,100008,2,6,1,02,08,7,0,0,0,0,0,1,1,0
"POINT (7.495643667000024 51.476798882000026)",Unfall 100009 (2019) Kat:3, Licht: 0,100009,3,2,1,02,13,7,0,0,0,1,0,0,0,0
"POINT (7.486762519000024 51.523939943000073)",Unfall 100146 (2019) Kat:3, Licht: 0,100146,3,6,2,02,09,4,0,0,0,1,0,0,0,1
"POINT (7.428546006000033 51.498149097000066)",Unfall 100156 (2019) Kat:3, Licht: 2,100156,3,1,9,02,05,4,0,2,0,0,0,1,0,0
"POINT (7.615000559000066 51.532759598000041)",Unfall 100246 (2019) Kat:2, Licht: 0,100246,2,2,3,02,17,3,0,0,0,1,0,0,0,1
"POINT (7.551866294000035 51.470418272000074)",Unfall 100247 (2019) Kat:3, Licht: 0,100247,3,6,2,02,16,3,0,0,0,1,0,0,0,0
"POINT (7.460184359000039 51.506631674000062)",Unfall 100299 (2019) Kat:3, Licht: 0,100299,3,2,5,02,08,5,0,0,1,1,0,0,0,0
"POINT (7.385971520000055 51.495606688000066)",Unfall 100347 (2019) Kat:3, Licht: 1,100347,3,1,8,02,05,1,0,1,0,1,0,0,0,0
"POINT (7.575917308000044 51.504810414000076)",Unfall 100370 (2019) Kat:3, Licht: 1,100370,3,2,5,02,18,1,0,1,0,1,0,0,0,0
"POINT (7.597769822000032 51.478358039000057)",Unfall 100425 (2019) Kat:3, Licht: 0,100425,3,7,1,02,11,7,0,0,0,1,0,0,0,0
"POINT (7.479259142000046 51.543374532000030)",Unfall 100427 (2019) Kat:3, Licht: 0,100427,3,6,3,02,14,7,0,0,0,1,0,0,1,0
"POINT (7.461267531000033 51.546923254000035)",Unfall 100428 (2019) Kat:3, Licht: 0,100428,3,2,5,02,13,7,0,0,0,1,0,0,0,1
"POINT (7.362752509000075 51.571068501000070)",Unfall 100435 (2019) Kat:3, Licht: 0,100435,3,6,3,02,15,7,0,0,0,1,0,1,0,0
