WKT,Name,OBJECTID,UKATEGORIE,UTYP1,UART,UMONAT,USTUNDE,UWOCHENTAG,STRZUSTAND,ULICHTVERH,ISTRAD,ISTPKW,ISTFUSS,ISTKRAD
"POINT (6.939151062000065 50.953568553000082)",Unfall 98641 (2019) Kat:3, Licht: 1,98641,3,6,2,02,17,2,0,1,0,1,0,0
"POINT (6.927308843000049 50.863845924000032)",Unfall 98642 (2019) Kat:3, Licht: 0,98642,3,7,0,02,11,2,0,0,0,0,0,0
"POINT (6.969117345000029 50.904287546000035)",Unfall 98643 (2019) Kat:3, Licht: 0,98643,3,3,5,02,10,2,0,0,0,1,0,0
"POINT (6.895695219000061 50.914694960000077)",Unfall 98644 (2019) Kat:3, Licht: 0,98644,3,7,2,02,12,2,0,0,0,0,0,0
"POINT (6.883366413000033 51.002826154000047)",Unfall 98688 (2019) Kat:2, Licht: 0,98688,2,6,2,02,17,5,0,0,0,1,0,0
"POINT (6.967152980000037 50.842103241000075)",Unfall 98718 (2019) Kat:2, Licht: 0,98718,2,6,2,02,14,2,0,0,0,1,0,0
"POINT (7.017262197000036 50.982702185000051)",Unfall 98720 (2019) Kat:2, Licht: 0,98720,2,3,3,02,09,2,0,0,0,1,0,0
"POINT (6.948634913000035 50.884014207000064)",Unfall 98725 (2019) Kat:2, Licht: 2,98725,2,6,2,02,23,2,0,2,0,1,0,0
"POINT (6.963530218000074 50.884220054000082)",Unfall 98727 (2019) Kat:3, Licht: 2,98727,3,3,0,02,19,2,0,2,0,1,0,0
"POINT (6.975540119000073 50.939803170000062)",Unfall 98757 (2019) Kat:3, Licht: 0,98757,3,3,5,02,13,1,0,0,0,1,0,0
"POINT (6.953069511000024 50.935112074000074)",Unfall 98758 (2019) Kat:3, Licht: 2,98758,3,2,5,02,03,1,0,2,0,1,0,0
"POINT (7.014094787000033 50.952750784000045)",Unfall 98781 (2019) Kat:3, Licht: 0,98781,3,1,0,02,09,4,0,0,1,0,0,0
"POINT (6.993251849000046 51.011189528000045)",Unfall 98782 (2019) Kat:3, Licht: 2,98782,3,2,6,02,19,4,0,2,0,1,1,0
"POINT (6.883282283000028 50.965615413000080)",Unfall 98786 (2019) Kat:3, Licht: 0,98786,3,4,0,02,17,4,1,0,0,0,1,0
"POINT (6.914272653000069 50.921654466000064)",Unfall 98787 (2019) Kat:3, Licht: 0,98787,3,6,3,02,08,4,0,0,0,1,0,0
"POINT (7.054045295000037 50.951867562000075)",Unfall 98911 (2019) Kat:2, Licht: 2,98911,2,7,1,02,00,7,1,2,0,1,0,0
"POINT (6.857919465000066 51.013104579000071)",Unfall 98968 (2019) Kat:3, Licht: 0,98968,3,2,6,02,15,3,1,0,0,1,1,0
"POINT (6.979143144000034 50.849268552000069)",Unfall 98972 (2019) Kat:3, Licht: 2,98972,3,2,5,02,18,3,1,2,0,1,0,0
"POINT (6.924822598000048 50.913355643000045)",Unfall 98973 (2019) Kat:3, Licht: 2,98973,3,3,5,02,18,3,0,2,0,1,0,0
"POINT (7.053540898000051 50.888819870000077)",Unfall 98974 (2019) Kat:3, Licht: 0,98974,3,6,2,02,09,6,1,0,0,1,0,0
"POINT (6.926576477000026 50.931033679000052)",Unfall 98975 (2019) Kat:3, Licht: 0,98975,3,6,2,02,08,3,1,0,0,1,0,0
"POINT (6.946490866000033 50.985437239000078)",Unfall 98976 (2019) Kat:2, Licht: 0,98976,2,4,5,02,13,6,1,0,0,0,1,0
