WKT,Name,OBJECTID,UKATEGORIE,UTYP1,UART,UMONAT,USTUNDE,UWOCHENTAG,STRZUSTAND,ULICHTVERH,ISTRAD,ISTPKW,ISTFUSS,ISTKRAD,ISTGKFZ,ISTSONSTIG
"POINT (12.451515694999999 51.363654103000002)",Unfall 45494 (2016) Kat:3, Licht: 0,45494,3,6,2,05,18,2,,0,0,1,0,0,0,1
"POINT (12.514499975000000 51.326177801000000)",Unfall 45500 (2016) Kat:3, Licht: 0,45500,3,6,2,04,07,2,,0,0,1,0,0,0,0
"POINT (12.274895000000001 51.345116073000000)",Unfall 45517 (2016) Kat:3, Licht: 0,45517,3,3,5,04,12,6,,0,0,1,0,1,0,0
"POINT (12.377065334999999 51.344510862000000)",Unfall 45522 (2016) Kat:3, Licht: 2,45522,3,3,5,05,22,1,,2,0,1,0,0,0,0
"POINT (12.357649193000000 51.342071201000003)",Unfall 45525 (2016) Kat:3, Licht: 2,45525,3,6,1,05,21,4,,2,0,1,0,1,0,0
"POINT (12.356632213999999 51.374769313000002)",Unfall 45566 (2016) Kat:3, Licht: 0,45566,3,6,2,04,10,3,,0,0,1,0,0,0,0
"POINT (12.337795393000000 51.335381308999999)",Unfall 45609 (2016) Kat:3, Licht: 0,45609,3,2,4,05,08,3,,0,0,1,0,1,0,0
"POINT (12.360006382000000 51.342160417000002)",Unfall 45623 (2016) Kat:3, Licht: 0,45623,3,2,4,05,06,2,,0,0,1,0,1,0,0
"POINT (12.413734030000001 51.313445113999997)",Unfall 45687 (2016) Kat:3, Licht: 0,45687,3,3,5,05,17,4,,0,1,1,0,0,0,0
"POINT (12.457793189000000 51.350461443000000)",Unfall 45700 (2016) Kat:3, Licht: 0,45700,3,2,2,04,15,3,,0,0,1,0,0,0,0
"POINT (12.386876111999999 51.345683352999998)",Unfall 45715 (2016) Kat:3, Licht: 0,45715,3,2,5,04,18,6,,0,1,1,0,0,0,0
"POINT (12.349656000000000 51.340032215999997)",Unfall 45762 (2016) Kat:3, Licht: 0,45762,3,6,3,04,15,7,,0,0,1,0,0,0,0
"POINT (12.301275640000000 51.341627418999998)",Unfall 45771 (2016) Kat:3, Licht: 0,45771,3,7,0,05,07,5,,0,0,1,0,0,0,1
"POINT (12.303488949000000 51.342520555000000)",Unfall 45777 (2016) Kat:3, Licht: 0,45777,3,6,3,04,12,5,,0,0,1,0,0,1,0
"POINT (12.362198757000000 51.342557937999999)",Unfall 45778 (2016) Kat:2, Licht: 1,45778,2,7,6,04,19,4,,1,0,1,1,0,0,0
"POINT (12.268838415999999 51.263814627999999)",Unfall 45780 (2016) Kat:3, Licht: 0,45780,3,6,2,04,11,2,,0,0,1,0,0,0,0
"POINT (12.317930917000000 51.339864161000001)",Unfall 45785 (2016) Kat:2, Licht: 0,45785,2,7,0,04,14,5,,0,0,0,0,1,0,0
"POINT (12.265578974000000 51.385175134000001)",Unfall 45798 (2016) Kat:3, Licht: 0,45798,3,2,5,04,16,2,,0,1,1,0,0,0,0
"POINT (12.401369922000001 51.324377492000004)",Unfall 45821 (2016) Kat:3, Licht: 0,45821,3,4,6,05,10,3,,0,0,0,1,0,0,1
"POINT (12.360678038000000 51.342245337999998)",Unfall 45826 (2016) Kat:2, Licht: 2,45826,2,1,0,04,22,4,,2,0,0,0,1,0,0
"POINT (12.479488575000000 51.352131667999998)",Unfall 45828 (2016) Kat:2, Licht: 0,45828,2,4,6,05,16,2,,0,0,1,1,0,0,0
"POINT (12.371490280000000 51.376037809000003)",Unfall 45849 (2016) Kat:3, Licht: 0,45849,3,4,6,05,10,7,,0,0,1,1,0,0,0
"POINT (12.357902782000000 51.341847635000001)",Unfall 45852 (2016) Kat:3, Licht: 0,45852,3,6,2,05,14,3,,0,0,1,0,0,0,0
"POINT (12.380374835000000 51.344146891999998)",Unfall 45892 (2016) Kat:3, Licht: 2,45892,3,4,6,04,22,3,,2,0,0,1,0,0,1
"POINT (12.441589505000000 51.350823705000003)",Unfall 45906 (2016) Kat:2, Licht: 2,45906,2,3,5,04,20,7,,2,0,1,0,0,0,0
"POINT (12.489729736999999 51.334941647999997)",Unfall 45919 (2016) Kat:3, Licht: 0,45919,3,3,5,06,06,2,,0,0,1,0,0,0,0
"POINT (12.417594467000001 51.310820841999998)",Unfall 45953 (2016) Kat:3, Licht: 0,45953,3,6,2,06,10,5,,0,1,1,0,0,0,0
"POINT (12.394187179999999 51.336198928000002)",Unfall 45972 (2016) Kat:3, Licht: 0,45972,3,2,5,06,08,3,,0,1,1,0,0,0,0
"POINT (12.348281648000000 51.375192495999997)",Unfall 45974 (2016) Kat:3, Licht: 0,45974,3,3,5,06,19,2,,0,0,1,0,0,0,0
"POINT (12.422039500000000 51.307469365000003)",Unfall 45994 (2016) Kat:3, Licht: 0,45994,3,6,3,06,07,4,,0,0,1,0,0,0,0
"POINT (12.302563918000001 51.342596639999996)",Unfall 46026 (2016) Kat:3, Licht: 0,46026,3,3,5,05,16,3,,0,0,1,0,0,0,0
"POINT (12.392593886000000 51.334098167999997)",Unfall 46038 (2016) Kat:2, Licht: 0,46038,2,2,3,06,17,4,,0,1,1,0,0,0,0
"POINT (12.411547113999999 51.314612773999997)",Unfall 46084 (2016) Kat:3, Licht: 0,46084,3,6,2,05,11,2,,0,0,1,0,0,0,0
"POINT (12.319902484000000 51.339479402000002)",Unfall 46089 (2016) Kat:3, Licht: 0,46089,3,2,5,06,08,5,,0,1,1,0,0,0,0
"POINT (12.336364480000000 51.335416813999998)",Unfall 46110 (2016) Kat:3, Licht: 0,46110,3,2,4,07,08,4,,0,1,1,0,0,0,0
"POINT (12.359212597000001 51.375204525999997)",Unfall 46122 (2016) Kat:3, Licht: 0,46122,3,6,2,06,16,2,,0,0,1,0,0,0,0
"POINT (12.378246442000000 51.314839767999999)",Unfall 46173 (2016) Kat:3, Licht: 0,46173,3,3,5,06,16,5,,0,1,0,0,0,0,0
"POINT (12.377282619000001 51.375874988000000)",Unfall 46265 (2016) Kat:3, Licht: 0,46265,3,2,3,06,12,7,,0,0,1,0,1,0,0
"POINT (12.495102267000000 51.354583282999997)",Unfall 46294 (2016) Kat:3, Licht: 0,46294,3,7,2,05,17,4,,0,0,1,0,0,0,0
"POINT (12.373340925000001 51.314807447000000)",Unfall 46302 (2016) Kat:3, Licht: 2,46302,3,6,2,06,22,6,,2,0,1,0,0,0,0
"POINT (12.354385664000000 51.412071654999998)",Unfall 46309 (2016) Kat:3, Licht: 0,46309,3,6,2,06,20,6,,0,0,1,0,0,0,0
"POINT (12.389963650000000 51.346580154999998)",Unfall 46311 (2016) Kat:3, Licht: 0,46311,3,2,2,05,14,2,,0,0,1,0,0,0,0
"POINT (12.494710379000001 51.355136041000002)",Unfall 46327 (2016) Kat:2, Licht: 0,46327,2,6,2,06,17,5,,0,0,1,0,0,0,0
"POINT (12.395075589999999 51.332100502999999)",Unfall 46341 (2016) Kat:3, Licht: 0,46341,3,2,5,06,08,3,,0,1,0,0,0,0,1
"POINT (12.357644454000001 51.341803953000003)",Unfall 46344 (2016) Kat:3, Licht: 0,46344,3,3,5,06,07,4,,0,1,0,0,0,0,1
"POINT (12.342497021000000 51.338356922000003)",Unfall 46374 (2016) Kat:3, Licht: 0,46374,3,2,3,06,18,2,,0,1,1,0,0,0,0
"POINT (12.424707066000000 51.304590243000000)",Unfall 46383 (2016) Kat:3, Licht: 0,46383,3,2,2,06,10,5,,0,0,1,1,0,0,0
"POINT (12.379272800000001 51.289541931000002)",Unfall 46419 (2016) Kat:3, Licht: 0,46419,3,1,9,06,16,5,,0,0,1,0,0,0,0
"POINT (12.414073348000001 51.399364251999998)",Unfall 46489 (2016) Kat:2, Licht: 0,46489,2,6,2,06,15,6,,0,0,1,0,0,0,0
"POINT (12.446084282999999 51.361194576000003)",Unfall 46509 (2016) Kat:3, Licht: 0,46509,3,2,3,07,19,3,,0,0,1,0,1,0,0
"POINT (12.263627350000000 51.275841446000001)",Unfall 46515 (2016) Kat:3, Licht: 0,46515,3,3,5,05,20,6,,0,0,1,0,0,0,0
"POINT (12.321923498000000 51.338995398000002)",Unfall 46541 (2016) Kat:3, Licht: 0,46541,3,3,5,06,07,6,,0,1,1,0,0,0,0
"POINT (12.372979471000001 51.301421664000003)",Unfall 46546 (2016) Kat:3, Licht: 0,46546,3,3,5,06,12,6,,0,1,1,0,0,0,0
"POINT (12.491937463999999 51.355115769999998)",Unfall 46548 (2016) Kat:3, Licht: 0,46548,3,6,2,05,18,4,,0,0,1,0,0,0,0
"POINT (12.396163266000000 51.415436387000000)",Unfall 46554 (2016) Kat:3, Licht: 0,46554,3,6,1,06,17,5,,0,0,1,0,0,0,0
"POINT (12.390594921000000 51.405102702999997)",Unfall 46574 (2016) Kat:2, Licht: 0,46574,2,1,0,06,20,2,,0,0,0,0,1,0,0
"POINT (12.479314050999999 51.352018473000001)",Unfall 46579 (2016) Kat:2, Licht: 0,46579,2,2,5,05,20,5,,0,1,1,0,0,0,0
"POINT (12.371142152999999 51.344433096000003)",Unfall 46602 (2016) Kat:3, Licht: 0,46602,3,7,0,06,19,6,,0,0,1,0,1,0,0
"POINT (12.403760208000000 51.321654649000003)",Unfall 46637 (2016) Kat:3, Licht: 0,46637,3,3,5,06,13,5,,0,0,1,0,0,0,1
"POINT (12.344860411999999 51.339187467999999)",Unfall 46649 (2016) Kat:3, Licht: 0,46649,3,3,5,06,13,3,,0,1,1,0,0,0,0
"POINT (12.387837162000000 51.403093057000000)",Unfall 46654 (2016) Kat:3, Licht: 0,46654,3,6,9,05,07,6,,0,0,1,0,0,0,0
