WKT,Name,OBJECTID,UKATEGORIE,UTYP1,UART,UMONAT,USTUNDE,UWOCHENTAG,STRZUSTAND,ULICHTVERH,ISTRAD,ISTPKW,ISTFUSS,ISTKRAD
"POINT (13.365343051000025 52.473024090000081)",Unfall 113798 (2018) Kat:3, Licht: 2,113798,3,6,2,01,19,4,1,2,0,1,0,0
"POINT (13.311200274000043 52.452035518000059)",Unfall 113809 (2018) Kat:2, Licht: 2,113809,2,4,6,01,18,3,1,2,0,1,1,0
"POINT (13.579946956000072 52.505078995000076)",Unfall 113820 (2018) Kat:3, Licht: 0,113820,3,2,5,01,15,5,0,0,1,1,0,0
"POINT (13.510905418000050 52.455813650000039)",Unfall 113844 (2018) Kat:3, Licht: 0,113844,3,2,5,01,08,2,0,0,1,1,0,0
"POINT (13.311320405000060 52.627620844000035)",Unfall 113855 (2018) Kat:3, Licht: 0,113855,3,2,5,01,06,5,1,0,1,1,0,0
"POINT (13.385808167000050 52.482260949000079)",Unfall 113873 (2018) Kat:3, Licht: 2,113873,3,6,2,01,22,6,0,2,0,1,0,0
"POINT (13.467597781000052 52.514352112000040)",Unfall 113883 (2018) Kat:3, Licht: 2,113883,3,2,6,01,20,4,1,2,0,1,1,0
"POINT (13.410859436000067 52.518544442000064)",Unfall 113906 (2018) Kat:3, Licht: 2,113906,3,7,6,01,23,7,0,2,0,1,1,0
"POINT (13.562031025000067 52.508437192000031)",Unfall 113917 (2018) Kat:3, Licht: 0,113917,3,6,3,01,09,4,1,0,0,1,0,0
"POINT (13.385741085000063 52.469472972000062)",Unfall 113960 (2018) Kat:3, Licht: 0,113960,3,2,5,01,13,6,0,0,0,1,0,0
"POINT (13.374721245000046 52.509266322000030)",Unfall 113971 (2018) Kat:2, Licht: 0,113971,2,4,6,01,08,3,0,0,0,1,1,0
"POINT (13.457807191000029 52.491620109000053)",Unfall 113989 (2018) Kat:3, Licht: 2,113989,3,4,0,01,17,4,0,2,0,0,1,0
"POINT (13.473496491000049 52.513762940000049)",Unfall 114000 (2018) Kat:2, Licht: 0,114000,2,4,6,01,09,3,1,0,0,1,1,0
"POINT (13.345501615000046 52.580818385000043)",Unfall 114011 (2018) Kat:3, Licht: 2,114011,3,3,5,01,06,6,1,2,0,1,0,0
"POINT (13.214699622000069 52.427531724000062)",Unfall 114017 (2018) Kat:3, Licht: 0,114017,3,2,5,03,13,7,0,0,0,1,0,0
"POINT (13.415931434000072 52.522199523000040)",Unfall 114018 (2018) Kat:3, Licht: 2,114018,3,6,3,11,18,2,0,2,1,1,0,0
"POINT (13.352133034000076 52.480103142000075)",Unfall 114019 (2018) Kat:3, Licht: 0,114019,3,2,5,08,19,5,0,0,1,1,0,0
"POINT (13.394623874000047 52.517317452000043)",Unfall 114021 (2018) Kat:3, Licht: 2,114021,3,5,1,10,22,6,0,2,1,1,0,0
"POINT (13.429042613000036 52.518427527000028)",Unfall 114022 (2018) Kat:3, Licht: 0,114022,3,6,2,08,16,3,0,0,0,1,0,0
"POINT (13.465114408000034 52.514754074000052)",Unfall 114023 (2018) Kat:2, Licht: 0,114023,2,6,3,04,19,2,0,0,1,0,0,0
"POINT (13.438901392000048 52.618416199000080)",Unfall 114024 (2018) Kat:3, Licht: 0,114024,3,6,2,04,16,4,0,0,0,1,0,0
"POINT (13.556285310000021 52.508827987000075)",Unfall 114025 (2018) Kat:2, Licht: 0,114025,2,3,5,05,14,4,0,0,1,1,0,0
"POINT (13.387511120000056 52.438981159000036)",Unfall 114026 (2018) Kat:3, Licht: 0,114026,3,3,5,11,08,6,0,0,0,1,0,0
"POINT (13.157369726000070 52.419252519000054)",Unfall 114027 (2018) Kat:3, Licht: 0,114027,3,3,0,12,09,3,1,0,0,1,0,1
"POINT (13.387265619000061 52.440164384000070)",Unfall 114028 (2018) Kat:3, Licht: 0,114028,3,6,2,09,14,5,0,0,0,1,0,1
"POINT (13.288612728000032 52.494079036000073)",Unfall 114029 (2018) Kat:3, Licht: 0,114029,3,6,2,08,07,6,0,0,0,1,0,0
"POINT (13.375949160000062 52.429860144000031)",Unfall 114030 (2018) Kat:3, Licht: 0,114030,3,6,2,06,11,6,0,0,0,1,0,0
"POINT (13.453491296000038 52.515024750000066)",Unfall 114031 (2018) Kat:3, Licht: 2,114031,3,1,0,07,22,4,0,2,0,0,0,1
"POINT (13.365258673000028 52.558079660000033)",Unfall 114032 (2018) Kat:3, Licht: 0,114032,3,3,5,05,07,4,0,0,0,1,0,0
"POINT (13.432450972000026 52.622531249000076)",Unfall 114033 (2018) Kat:3, Licht: 0,114033,3,3,0,03,18,6,0,0,0,1,0,0
"POINT (13.447294115000034 52.502595247000045)",Unfall 114034 (2018) Kat:3, Licht: 0,114034,3,7,6,11,14,3,0,0,0,0,1,0
"POINT (13.442306391000045 52.615378719000034)",Unfall 114035 (2018) Kat:3, Licht: 0,114035,3,1,9,06,11,1,1,0,0,1,0,0
"POINT (13.302147356000035 52.486610560000031)",Unfall 114036 (2018) Kat:2, Licht: 2,114036,2,1,8,12,23,5,1,2,0,1,0,0
"POINT (13.330582106000065 52.601225432000035)",Unfall 114037 (2018) Kat:3, Licht: 0,114037,3,7,6,10,16,7,0,0,0,1,1,0
"POINT (13.447174652000058 52.546780118000072)",Unfall 114038 (2018) Kat:3, Licht: 0,114038,3,6,2,08,17,5,0,0,0,1,0,0
"POINT (13.360697759000061 52.490886837000062)",Unfall 114039 (2018) Kat:3, Licht: 2,114039,3,6,2,04,21,4,0,2,1,1,0,0
"POINT (13.361783991000038 52.413642017000029)",Unfall 114040 (2018) Kat:3, Licht: 0,114040,3,2,5,03,17,1,0,0,1,1,0,0
"POINT (13.467903602000035 52.514321874000075)",Unfall 114041 (2018) Kat:3, Licht: 0,114041,3,6,2,05,14,5,0,0,0,1,0,1
"POINT (13.364478750000046 52.562244295000028)",Unfall 114042 (2018) Kat:3, Licht: 2,114042,3,6,2,10,06,5,1,2,0,1,0,0
"POINT (13.453784343000052 52.515764298000079)",Unfall 114043 (2018) Kat:3, Licht: 2,114043,3,2,5,03,20,6,0,2,0,1,0,1
"POINT (13.394567520000066 52.467337934000057)",Unfall 114044 (2018) Kat:3, Licht: 1,114044,3,6,3,11,06,3,0,1,0,0,0,0
"POINT (13.365501487000074 52.557971259000055)",Unfall 114045 (2018) Kat:3, Licht: 0,114045,3,3,5,09,09,1,0,0,0,1,0,0
"POINT (13.386544288000039 52.442086943000049)",Unfall 114046 (2018) Kat:3, Licht: 0,114046,3,3,5,08,17,6,0,0,1,1,0,0
"POINT (13.364587793000055 52.561623674000032)",Unfall 114047 (2018) Kat:3, Licht: 0,114047,3,6,2,06,12,2,0,0,0,1,0,0
"POINT (13.586160728000038 52.505028456000048)",Unfall 114048 (2018) Kat:2, Licht: 0,114048,2,6,2,07,13,2,0,0,0,1,0,0
"POINT (13.271476038000060 52.438270303000081)",Unfall 114049 (2018) Kat:3, Licht: 0,114049,3,2,5,06,10,3,0,0,0,1,0,0
"POINT (13.589359497000032 52.504984030000060)",Unfall 114050 (2018) Kat:3, Licht: 0,114050,3,1,0,08,10,5,0,0,0,0,0,1
