WKT,Name,OBJECTID,UKATEGORIE,UTYP1,UART,UMONAT,USTUNDE,UWOCHENTAG,STRZUSTAND,ULICHTVERH,ISTRAD,ISTPKW,ISTFUSS,ISTKRAD,ISTGKFZ,ISTSONSTIG
"POINT (6.778570832000071 51.258702831000051)",Unfall 99534 (2019) Kat:3, Licht: 2,99534,3,3,3,02,21,5,0,2,0,1,0,1,0,0
"POINT (6.786182318000044 51.253953220000028)",Unfall 99556 (2019) Kat:3, Licht: 2,99556,3,7,0,02,06,2,0,2,1,0,0,0,0,0
"POINT (6.783606792000057 51.205018947000042)",Unfall 99661 (2019) Kat:3, Licht: 0,99661,3,4,6,02,13,6,0,0,0,1,1,0,0,0
"POINT (6.775889770000049 51.199572424000053)",Unfall 99902 (2019) Kat:3, Licht: 2,99902,3,6,3,02,07,5,0,2,0,1,0,0,1,0
"POINT (6.805267355000069 51.257030478000047)",Unfall 99962 (2019) Kat:3, Licht: 0,99962,3,6,2,02,16,7,0,0,0,1,0,0,0,0
"POINT (6.847444790000054 51.229825020000078)",Unfall 100011 (2019) Kat:3, Licht: 1,100011,3,2,6,02,07,2,0,1,0,0,1,0,0,1
"POINT (6.840526532000069 51.227709400000037)",Unfall 100024 (2019) Kat:3, Licht: 0,100024,3,6,2,02,16,2,0,0,0,1,0,0,0,0
"POINT (6.782818898000073 51.207058728000050)",Unfall 100069 (2019) Kat:3, Licht: 2,100069,3,5,3,02,19,2,0,2,0,1,0,0,0,0
"POINT (6.755273466000062 51.265221161000056)",Unfall 100074 (2019) Kat:3, Licht: 0,100074,3,6,2,02,15,4,0,0,0,1,0,0,0,0
"POINT (6.801811633000057 51.242320956000071)",Unfall 100075 (2019) Kat:3, Licht: 0,100075,3,2,5,02,16,2,0,0,0,1,0,1,0,0
"POINT (6.789410203000045 51.200258288000043)",Unfall 100118 (2019) Kat:3, Licht: 2,100118,3,6,2,02,18,4,0,2,0,1,0,0,0,0
"POINT (6.808597079000037 51.232686907000073)",Unfall 100119 (2019) Kat:3, Licht: 2,100119,3,7,5,02,19,4,0,2,0,1,0,0,0,0
"POINT (6.913197816000036 51.259483440000054)",Unfall 100204 (2019) Kat:3, Licht: 2,100204,3,3,5,02,05,5,0,2,0,1,0,0,0,0
"POINT (6.811282294000023 51.225433647000045)",Unfall 100499 (2019) Kat:2, Licht: 2,100499,2,3,6,02,20,6,0,2,0,1,1,0,0,0
"POINT (6.721203942000045 51.232255510000073)",Unfall 100500 (2019) Kat:3, Licht: 0,100500,3,4,6,02,15,6,0,0,0,1,1,0,0,0
"POINT (6.789492003000021 51.231710499000030)",Unfall 100525 (2019) Kat:3, Licht: 2,100525,3,7,5,02,03,1,0,2,0,1,0,0,0,0
"POINT (6.782786331000068 51.214688408000029)",Unfall 100601 (2019) Kat:3, Licht: 0,100601,3,6,5,02,09,5,0,0,0,1,0,1,0,0
"POINT (6.851981354000031 51.163423020000039)",Unfall 100653 (2019) Kat:3, Licht: 0,100653,3,6,2,02,18,4,0,0,0,1,0,0,0,0
"POINT (6.866831363000074 51.215294153000059)",Unfall 100673 (2019) Kat:3, Licht: 0,100673,3,2,4,02,16,3,0,0,0,1,0,0,0,0
"POINT (6.809361857000056 51.176006562000055)",Unfall 100848 (2019) Kat:3, Licht: 0,100848,3,2,0,02,08,2,0,0,1,1,0,0,0,0
"POINT (6.751146114000051 51.271091624000064)",Unfall 100850 (2019) Kat:3, Licht: 0,100850,3,6,2,02,08,2,0,0,0,1,0,0,0,0
"POINT (6.801891898000065 51.245076307000033)",Unfall 100851 (2019) Kat:3, Licht: 0,100851,3,6,3,02,17,2,0,0,0,1,0,0,0,0
"POINT (6.810324735000052 51.229442480000046)",Unfall 100853 (2019) Kat:3, Licht: 0,100853,3,5,2,02,13,2,0,0,0,1,0,0,0,1
"POINT (6.701050273000021 51.231483000000026)",Unfall 100854 (2019) Kat:3, Licht: 0,100854,3,6,2,02,08,2,0,0,0,0,0,0,1,1
"POINT (6.809478217000049 51.230478788000028)",Unfall 101009 (2019) Kat:3, Licht: 2,101009,3,1,0,03,22,6,0,2,1,0,0,0,0,0
"POINT (6.807962482000050 51.208842770000047)",Unfall 101010 (2019) Kat:3, Licht: 0,101010,3,3,5,03,14,6,0,0,0,1,0,0,0,0
"POINT (6.799128034000034 51.210609048000038)",Unfall 101012 (2019) Kat:3, Licht: 1,101012,3,3,5,03,16,6,1,1,1,0,0,0,0,1
"POINT (6.775311800000054 51.200692096000068)",Unfall 101094 (2019) Kat:3, Licht: 2,101094,3,1,8,03,22,1,0,2,0,1,0,0,0,0
"POINT (6.849541244000022 51.201906247000068)",Unfall 101157 (2019) Kat:3, Licht: 0,101157,3,6,3,02,13,5,0,0,0,1,0,0,0,1
"POINT (6.756212984000058 51.231638047000047)",Unfall 101158 (2019) Kat:3, Licht: 0,101158,3,4,6,02,08,5,0,0,1,0,1,0,0,0
"POINT (6.780787601000043 51.230200868000054)",Unfall 101161 (2019) Kat:2, Licht: 0,101161,2,2,3,02,09,5,0,0,0,1,0,0,0,1
"POINT (6.832544319000022 51.194025690000046)",Unfall 101196 (2019) Kat:3, Licht: 2,101196,3,6,2,03,17,7,1,2,0,1,0,0,0,0
"POINT (6.755003410000029 51.200844774000075)",Unfall 101199 (2019) Kat:3, Licht: 0,101199,3,6,2,03,10,7,0,0,0,1,0,0,0,0
"POINT (6.820790418000058 51.207425752000063)",Unfall 101203 (2019) Kat:3, Licht: 0,101203,3,6,0,03,11,7,0,0,0,1,0,0,0,1
"POINT (6.890244804000076 51.163430821000077)",Unfall 101384 (2019) Kat:3, Licht: 0,101384,3,1,8,03,07,5,1,0,0,1,0,0,0,0
"POINT (6.861035462000075 51.189023065000072)",Unfall 101410 (2019) Kat:3, Licht: 2,101410,3,2,6,03,05,6,1,2,0,1,1,0,0,0
"POINT (6.771830852000051 51.236623909000059)",Unfall 101413 (2019) Kat:3, Licht: 2,101413,3,2,5,03,19,6,0,2,1,1,0,0,0,0
"POINT (6.782683512000062 51.208835447000070)",Unfall 101465 (2019) Kat:3, Licht: 0,101465,3,2,5,03,08,4,0,0,1,0,0,0,0,1
"POINT (6.774351661000026 51.200178058000063)",Unfall 101583 (2019) Kat:3, Licht: 0,101583,3,6,2,03,15,3,0,0,0,1,0,0,0,0
"POINT (6.863213056000063 51.223180934000027)",Unfall 101584 (2019) Kat:2, Licht: 2,101584,2,6,2,03,18,3,0,2,0,1,0,0,0,0
"POINT (6.771682534000036 51.232661347000032)",Unfall 101585 (2019) Kat:3, Licht: 2,101585,3,6,2,03,19,3,0,2,0,1,0,0,0,0
"POINT (6.784999600000049 51.204191394000077)",Unfall 101685 (2019) Kat:3, Licht: 0,101685,3,6,2,03,09,2,0,0,0,1,0,0,0,0
"POINT (6.787580174000027 51.242721676000031)",Unfall 101686 (2019) Kat:3, Licht: 0,101686,3,1,8,03,14,2,1,0,0,0,0,1,0,0
"POINT (6.862685745000022 51.223218000000031)",Unfall 101764 (2019) Kat:3, Licht: 0,101764,3,6,2,03,10,2,1,0,0,1,0,0,1,0
"POINT (6.797919831000058 51.255204313000036)",Unfall 101765 (2019) Kat:3, Licht: 1,101765,3,6,3,03,06,2,1,1,0,1,0,0,1,0
"POINT (6.793654548000063 51.253025759000082)",Unfall 101767 (2019) Kat:3, Licht: 0,101767,3,3,5,03,08,2,1,0,1,1,0,0,0,0
"POINT (6.770498105000058 51.231715968000060)",Unfall 101768 (2019) Kat:3, Licht: 0,101768,3,7,0,03,11,2,1,0,0,1,0,0,0,0
"POINT (6.757645493000041 51.200775515000032)",Unfall 101861 (2019) Kat:2, Licht: 0,101861,2,3,5,03,13,3,0,0,0,1,0,0,0,0
"POINT (6.810739970000043 51.222676876000037)",Unfall 101865 (2019) Kat:2, Licht: 2,101865,2,3,5,03,21,3,1,2,0,1,0,0,0,0
"POINT (6.781064193000020 51.230148296000038)",Unfall 101868 (2019) Kat:3, Licht: 0,101868,3,6,2,03,14,3,0,0,0,1,0,0,0,0
"POINT (6.782718931000034 51.208364140000072)",Unfall 101891 (2019) Kat:3, Licht: 0,101891,3,6,2,03,13,1,1,0,0,1,0,0,0,0
"POINT (6.809492948000070 51.261035615000026)",Unfall 101893 (2019) Kat:2, Licht: 2,101893,2,7,1,03,23,1,1,2,0,1,0,0,0,0
