WKT,Name,OBJECTID,UKATEGORIE,UTYP1,UART,UMONAT,USTUNDE,UWOCHENTAG,STRZUSTAND,ULICHTVERH,ISTRAD,ISTPKW,ISTFUSS,ISTKRAD,ISTGKFZ,ISTSONSTIG
"POINT (8.569289251000001 49.439671232999999)",Unfall 25424 (2016) Kat:2, Licht: 0,25424,2,3,5,03,13,3,,0,0,1,0,0,1,0
"POINT (8.480224109000000 49.489179507999999)",Unfall 25467 (2016) Kat:3, Licht: 2,25467,3,6,2,03,18,4,,2,0,1,0,0,0,0
"POINT (8.560411755000001 49.501862922000001)",Unfall 25589 (2016) Kat:3, Licht: 0,25589,3,6,3,02,16,7,,0,0,1,0,0,0,0
"POINT (8.485145048000000 49.494188899999997)",Unfall 25672 (2016) Kat:3, Licht: 0,25672,3,6,1,03,10,7,,0,0,1,0,0,0,0
"POINT (8.460691154999999 49.481377319000003)",Unfall 25737 (2016) Kat:2, Licht: 2,25737,2,7,5,03,19,5,,2,0,1,0,0,0,0
"POINT (8.467658680000000 49.478949084000000)",Unfall 25787 (2016) Kat:3, Licht: 0,25787,3,6,1,03,16,4,,0,0,1,0,0,0,0
"POINT (8.483764006000000 49.468945873999999)",Unfall 25792 (2016) Kat:3, Licht: 0,25792,3,6,2,03,15,2,,0,0,1,0,0,0,0
"POINT (8.485715560999999 49.466464340999998)",Unfall 25894 (2016) Kat:3, Licht: 0,25894,3,3,5,03,08,6,,0,1,0,0,0,0,1
"POINT (8.499567897000000 49.554757230000000)",Unfall 25898 (2016) Kat:2, Licht: 0,25898,2,6,2,03,12,5,,0,0,0,0,0,1,0
"POINT (8.517464113999999 49.488526440999998)",Unfall 25950 (2016) Kat:3, Licht: 1,25950,3,3,5,03,17,6,,1,0,1,0,0,0,1
"POINT (8.471959857000000 49.513321679000001)",Unfall 25980 (2016) Kat:3, Licht: 0,25980,3,2,3,03,16,6,,0,1,1,0,0,0,0
"POINT (8.512724893000000 49.488819913999997)",Unfall 26031 (2016) Kat:3, Licht: 0,26031,3,6,2,03,16,4,,0,0,1,0,0,0,0
