WKT,Name,OBJECTID,UKATEGORIE,UTYP1,UART,UMONAT,USTUNDE,UWOCHENTAG,STRZUSTAND,ULICHTVERH,ISTRAD,ISTPKW,ISTFUSS,ISTKRAD,ISTGKFZ,ISTSONSTIG
"POINT (10.868715651000000 48.342099501000000)",Unfall 66457 (2016) Kat:3, Licht: 1,66457,3,2,3,03,18,3,,1,0,1,0,1,0,0
"POINT (10.893899086999999 48.309209750999997)",Unfall 66463 (2016) Kat:3, Licht: 0,66463,3,3,5,03,11,2,,0,0,1,0,0,0,0
"POINT (10.856778823000001 48.376974249000000)",Unfall 66500 (2016) Kat:3, Licht: 0,66500,3,6,3,03,14,5,,0,0,1,0,0,0,0
"POINT (10.908300603000001 48.354649866000003)",Unfall 66541 (2016) Kat:3, Licht: 0,66541,3,6,3,03,10,5,,0,0,1,0,0,1,0
"POINT (10.920923175000000 48.398785111000002)",Unfall 66610 (2016) Kat:3, Licht: 0,66610,3,3,5,04,13,7,,0,0,1,0,0,0,0
"POINT (10.849843845000001 48.379765534999997)",Unfall 66615 (2016) Kat:3, Licht: 2,66615,3,1,0,03,22,3,,2,0,0,0,1,0,0
"POINT (10.901747635000000 48.308378617999999)",Unfall 66636 (2016) Kat:3, Licht: 2,66636,3,3,5,03,18,3,,2,1,1,0,0,0,0
"POINT (10.942804281000001 48.354887196000000)",Unfall 66691 (2016) Kat:3, Licht: 0,66691,3,2,0,03,11,5,,0,1,1,0,0,0,0
"POINT (10.907433353000000 48.338310241000002)",Unfall 66695 (2016) Kat:3, Licht: 0,66695,3,6,2,03,07,4,,0,0,1,0,0,0,0
"POINT (10.856035064000000 48.372070155000003)",Unfall 66724 (2016) Kat:3, Licht: 0,66724,3,6,2,03,14,5,,0,0,1,0,0,0,0
"POINT (10.890104021999999 48.383513379999997)",Unfall 66757 (2016) Kat:3, Licht: 1,66757,3,2,4,03,06,5,,1,0,1,0,1,0,0
"POINT (10.944415967999999 48.354993143999998)",Unfall 66829 (2016) Kat:3, Licht: 0,66829,3,7,0,04,18,7,,0,0,1,0,0,0,0
"POINT (10.887157537000000 48.324760730000001)",Unfall 66991 (2016) Kat:3, Licht: 2,66991,3,1,9,04,22,4,,2,0,1,0,0,0,0
"POINT (10.853444330000000 48.305217505999998)",Unfall 67013 (2016) Kat:3, Licht: 0,67013,3,1,8,04,14,4,,0,0,0,0,1,0,0
"POINT (10.937606764000000 48.384466998999997)",Unfall 67027 (2016) Kat:3, Licht: 0,67027,3,2,2,04,16,3,,0,0,1,0,0,0,0
"POINT (10.918283541999999 48.355486307000000)",Unfall 67070 (2016) Kat:3, Licht: 0,67070,3,6,2,04,17,2,,0,0,1,0,0,0,0
"POINT (10.868790269000000 48.397890900000000)",Unfall 67124 (2016) Kat:2, Licht: 2,67124,2,1,0,04,21,1,,2,0,0,0,1,0,0
"POINT (10.929296695000000 48.377406178999998)",Unfall 67177 (2016) Kat:3, Licht: 2,67177,3,2,3,04,05,4,,2,1,1,0,0,0,0
"POINT (10.936426386999999 48.383232939999999)",Unfall 67191 (2016) Kat:3, Licht: 0,67191,3,6,2,04,09,3,,0,0,1,0,0,0,0
"POINT (10.874199608000000 48.388052064999997)",Unfall 67232 (2016) Kat:2, Licht: 0,67232,2,2,3,04,15,2,,0,1,0,0,0,0,1
"POINT (10.909172321000000 48.318482772000003)",Unfall 67369 (2016) Kat:2, Licht: 0,67369,2,3,5,04,15,2,,0,1,0,0,1,0,0
"POINT (10.919966658000000 48.420771498999997)",Unfall 67439 (2016) Kat:3, Licht: 2,67439,3,3,5,04,22,2,,2,0,1,0,0,0,0
"POINT (10.933461684999999 48.381765637000001)",Unfall 67469 (2016) Kat:3, Licht: 0,67469,3,6,3,04,15,4,,0,0,1,0,0,1,0
"POINT (10.899718497000000 48.327809385999998)",Unfall 67563 (2016) Kat:3, Licht: 0,67563,3,3,5,04,07,2,,0,0,1,0,1,0,0
"POINT (10.939734248000001 48.370049809999998)",Unfall 67627 (2016) Kat:3, Licht: 0,67627,3,2,4,04,07,2,,0,1,0,0,1,0,0
"POINT (10.880799269000001 48.385668553999999)",Unfall 67644 (2016) Kat:3, Licht: 0,67644,3,3,5,04,18,3,,0,1,1,0,0,0,0
"POINT (10.936630511000001 48.383472971000003)",Unfall 67725 (2016) Kat:2, Licht: 0,67725,2,4,6,04,18,2,,0,0,1,1,0,0,0
"POINT (10.915098821000001 48.264531339000001)",Unfall 67769 (2016) Kat:3, Licht: 0,67769,3,1,4,04,15,6,,0,0,1,0,0,0,0
"POINT (10.885667330000000 48.325940697000000)",Unfall 67810 (2016) Kat:3, Licht: 0,67810,3,6,3,04,14,7,,0,1,0,0,0,0,0
"POINT (10.872435354000000 48.403257940000003)",Unfall 67930 (2016) Kat:3, Licht: 0,67930,3,6,2,04,12,1,,0,0,1,0,0,0,0
"POINT (10.929320084000000 48.364137599000003)",Unfall 67938 (2016) Kat:2, Licht: 0,67938,2,6,2,04,12,7,,0,1,1,0,0,0,0
"POINT (10.872955544000000 48.388878853000001)",Unfall 68133 (2016) Kat:3, Licht: 0,68133,3,6,2,04,17,3,,0,0,1,0,0,0,0
"POINT (10.870714648000000 48.332572376999998)",Unfall 68139 (2016) Kat:3, Licht: 2,68139,3,3,5,04,21,7,,2,0,1,0,0,0,0
"POINT (10.865628572000000 48.349431650000000)",Unfall 68166 (2016) Kat:3, Licht: 0,68166,3,6,2,04,13,6,,0,0,1,0,0,0,0
"POINT (10.906487353999999 48.310093221000002)",Unfall 68337 (2016) Kat:3, Licht: 0,68337,3,2,4,04,17,4,,0,0,1,0,0,0,0
"POINT (10.887231442999999 48.325785924999998)",Unfall 68471 (2016) Kat:3, Licht: 0,68471,3,7,0,04,16,3,,0,0,0,0,1,0,0
"POINT (10.933708942000001 48.357766863000002)",Unfall 68723 (2016) Kat:3, Licht: 0,68723,3,7,9,04,18,5,,0,0,1,0,0,0,0
"POINT (10.869174116000000 48.342760959000003)",Unfall 68788 (2016) Kat:3, Licht: 0,68788,3,6,1,04,16,6,,0,0,1,0,0,0,0
"POINT (10.926345614000001 48.367352527000001)",Unfall 68875 (2016) Kat:3, Licht: 0,68875,3,6,2,04,14,6,,0,0,1,0,1,0,0
"POINT (10.916174313999999 48.355832919999997)",Unfall 68975 (2016) Kat:3, Licht: 0,68975,3,6,2,04,17,7,,0,0,1,0,1,0,0
"POINT (10.944566439999999 48.355008742000003)",Unfall 69040 (2016) Kat:3, Licht: 0,69040,3,4,6,05,13,4,,0,0,1,1,0,0,0
"POINT (10.885479766000000 48.385699989000003)",Unfall 69169 (2016) Kat:2, Licht: 0,69169,2,2,4,04,13,7,,0,0,1,0,1,0,0
"POINT (10.866976608000000 48.335510747999997)",Unfall 69219 (2016) Kat:3, Licht: 0,69219,3,6,1,04,12,7,,0,1,1,0,0,0,0
"POINT (10.955889884999999 48.338142584000003)",Unfall 69257 (2016) Kat:3, Licht: 2,69257,3,2,4,04,21,5,,2,0,1,0,0,0,0
"POINT (10.895877092999999 48.413623176000002)",Unfall 69281 (2016) Kat:3, Licht: 0,69281,3,6,2,05,17,4,,0,0,1,0,0,0,0
"POINT (10.927238957000000 48.355179636999999)",Unfall 69376 (2016) Kat:2, Licht: 0,69376,2,1,8,04,15,7,,0,0,1,0,0,0,0
"POINT (10.936760152000000 48.383612137000000)",Unfall 69399 (2016) Kat:3, Licht: 0,69399,3,6,2,05,16,4,,0,0,1,0,1,0,0
"POINT (10.868032732000000 48.339801000999998)",Unfall 69422 (2016) Kat:3, Licht: 0,69422,3,7,0,05,19,5,,0,1,1,0,0,0,0
"POINT (10.856466090000000 48.373443962000003)",Unfall 69444 (2016) Kat:3, Licht: 0,69444,3,6,2,05,17,6,,0,0,1,0,0,0,0
"POINT (10.945966695999999 48.355071707999997)",Unfall 69479 (2016) Kat:2, Licht: 2,69479,2,5,1,05,02,7,,2,0,1,0,0,0,0
