WKT,Name,OBJECTID,UKATEGORIE,UTYP1,UART,UMONAT,USTUNDE,UWOCHENTAG,STRZUSTAND,ULICHTVERH,ISTRAD,ISTPKW,ISTFUSS,ISTKRAD
POINT (8.530803096000000 50.114558060000000),Unfall 10402 (2016) Kat:3 Licht:2,10402,3,6,2,01,18,6,,2,0,1,0,0
POINT (8.605871587999999 50.104906616000001),Unfall 10424 (2016) Kat:3 Licht:2,10424,3,6,2,01,17,5,,2,0,1,0,0
POINT (8.688639992000001 50.062144162999999),Unfall 10451 (2016) Kat:3 Licht:0,10451,3,3,5,01,09,6,,0,1,1,0,0
POINT (8.650436083000001 50.132632489999999),Unfall 10456 (2016) Kat:3 Licht:2,10456,3,6,2,01,19,6,,2,0,1,0,0
POINT (8.684630053999999 50.139636650000000),Unfall 10485 (2016) Kat:3 Licht:0,10485,3,2,3,01,16,4,,0,1,1,0,0
POINT (8.647247160999999 50.140424817000003),Unfall 10496 (2016) Kat:3 Licht:2,10496,3,4,6,01,00,7,,2,0,1,1,0
POINT (8.634074986000000 50.134521442999997),Unfall 10498 (2016) Kat:3 Licht:2,10498,3,6,2,01,18,6,,2,0,1,0,0
POINT (8.703491305000000 50.143047907000003),Unfall 10513 (2016) Kat:2 Licht:0,10513,2,6,2,02,12,2,,0,0,1,0,0
POINT (8.663717863000001 50.147487454000000),Unfall 10518 (2016) Kat:3 Licht:0,10518,3,6,2,01,10,7,,0,0,1,0,0
POINT (8.659691572000000 50.110001517000001),Unfall 10526 (2016) Kat:3 Licht:0,10526,3,1,8,01,09,1,,0,0,1,0,0
POINT (8.534539307999999 50.116258059000003),Unfall 10531 (2016) Kat:3 Licht:2,10531,3,1,9,01,03,6,,2,0,1,0,0
POINT (8.599818243000000 50.131727269000002),Unfall 10553 (2016) Kat:3 Licht:2,10553,3,6,2,01,17,3,,2,0,1,0,0
POINT (8.731985232000000 50.118487274000003),Unfall 10554 (2016) Kat:3 Licht:1,10554,3,6,2,01,18,1,,1,0,1,0,0
POINT (8.660592389000000 50.102162413999999),Unfall 10571 (2016) Kat:3 Licht:0,10571,3,4,6,02,12,3,,0,0,1,1,0
POINT (8.595615034000000 50.057936063000000),Unfall 10587 (2016) Kat:3 Licht:2,10587,3,6,2,02,19,4,,2,0,1,0,0
POINT (8.747275544000001 50.139500347000002),Unfall 10590 (2016) Kat:3 Licht:0,10590,3,3,5,02,16,5,,0,0,1,0,0
POINT (8.701460831000000 50.123180386999998),Unfall 10594 (2016) Kat:1 Licht:0,10594,1,2,6,02,13,3,,0,0,0,1,0
