WKT,Name,OBJECTID,UKATEGORIE,UTYP1,UART,UMONAT,USTUNDE,UWOCHENTAG,STRZUSTAND,ULICHTVERH,ISTRAD,ISTPKW,ISTFUSS,ISTKRAD
"POINT (8.580204865000042 51.955556266000031)","Unfall 27929 (2024) Kat:3, Licht: 2","27929","3","3","5","01","17","3","","2","0","1","0","0"
"POINT (8.598518730000023 52.018792963000067)","Unfall 27930 (2024) Kat:2, Licht: 2","27930","2","4","6","01","18","3","","2","0","1","1","0"
"POINT (8.416850169000043 51.961539586000072)","Unfall 28068 (2024) Kat:2, Licht: 0","28068","2","7","0","01","12","1","","0","1","0","0","0"
"POINT (8.509156679000057 51.976461708000045)","Unfall 28179 (2024) Kat:3, Licht: 0","28179","3","7","2","03","13","6","","0","0","1","0","0"
"POINT (8.553254978000041 51.962637292000068)","Unfall 28335 (2024) Kat:3, Licht: 1","28335","3","3","5","03","06","4","","1","1","1","0","0"
"POINT (8.553139324000028 52.036716648000038)","Unfall 28336 (2024) Kat:3, Licht: 0","28336","3","5","1","03","16","4","","0","1","1","0","0"
"POINT (8.604574652000053 52.032712344000061)","Unfall 28399 (2024) Kat:3, Licht: 0","28399","3","3","5","03","10","3","","0","0","1","0","0"
"POINT (8.578736485000036 52.038748376000058)","Unfall 28400 (2024) Kat:3, Licht: 0","28400","3","3","5","03","07","3","","0","1","1","0","0"
"POINT (8.543333392000022 52.032302767000033)","Unfall 28465 (2024) Kat:3, Licht: 0","28465","3","6","2","03","12","2","","0","0","1","0","0"
"POINT (8.478000091000069 51.980238054000040)","Unfall 28477 (2024) Kat:3, Licht: 2","28477","3","2","5","03","05","4","","2","1","1","0","0"
"POINT (8.615256016000046 51.975885671000071)","Unfall 28623 (2024) Kat:3, Licht: 2","28623","3","1","2","03","22","7","","2","0","1","0","0"
"POINT (8.557806560000074 51.942396580000036)","Unfall 28626 (2024) Kat:3, Licht: 0","28626","3","2","5","03","12","7","","0","0","0","0","0"
"POINT (8.479171537000070 51.951931290000061)","Unfall 28627 (2024) Kat:1, Licht: 2","28627","1","1","9","03","23","7","","2","0","1","0","0"
"POINT (8.555427694000059 51.942411367000034)","Unfall 28628 (2024) Kat:3, Licht: 2","28628","3","1","8","03","03","7","","2","0","1","0","0"
"POINT (8.602290661000040 52.059678528000063)","Unfall 28629 (2024) Kat:3, Licht: 0","28629","3","7","1","03","14","7","","0","0","1","0","0"
"POINT (8.526127182000039 52.019154314000048)","Unfall 28673 (2024) Kat:3, Licht: 1","28673","3","7","0","03","07","3","","1","1","0","0","0"
"POINT (8.531425104000050 52.016025636000052)","Unfall 28739 (2024) Kat:3, Licht: 0","28739","3","3","5","03","08","6","","0","1","1","0","0"
"POINT (8.638082484000051 52.030371797000043)","Unfall 28835 (2024) Kat:3, Licht: 0","28835","3","6","3","02","14","5","","0","0","1","0","0"
"POINT (8.543168928000057 52.033114341000044)","Unfall 28897 (2024) Kat:3, Licht: 0","28897","3","6","2","02","11","4","","0","0","1","0","0"
"POINT (8.612252529000045 52.067631638000080)","Unfall 28914 (2024) Kat:2, Licht: 0","28914","2","2","5","03","07","3","","0","0","1","0","0"
"POINT (8.572407012000042 52.011150598000029)","Unfall 29011 (2024) Kat:3, Licht: 0","29011","3","2","5","02","09","3","","0","0","1","0","0"
"POINT (8.519515361000060 52.027153836000082)","Unfall 29101 (2024) Kat:3, Licht: 0","29101","3","3","5","02","16","2","","0","1","1","0","0"
"POINT (8.555596666000042 52.060820057000058)","Unfall 29218 (2024) Kat:3, Licht: 0","29218","3","2","3","02","17","4","","0","1","1","0","0"
"POINT (8.536508650000030 52.012784445000079)","Unfall 29232 (2024) Kat:2, Licht: 0","29232","2","1","0","02","17","7","","0","0","1","0","0"
"POINT (8.477215988000069 51.996690336000029)","Unfall 29397 (2024) Kat:3, Licht: 0","29397","3","2","4","02","11","5","","0","1","1","0","0"
"POINT (8.559516971000050 52.013119364000033)","Unfall 29399 (2024) Kat:2, Licht: 2","29399","2","2","5","02","06","5","","2","1","0","0","0"
"POINT (8.534733484000071 52.013456254000062)","Unfall 29400 (2024) Kat:3, Licht: 0","29400","3","6","0","02","08","5","","0","0","1","0","1"
"POINT (8.565582436000057 52.024275755000076)","Unfall 29479 (2024) Kat:3, Licht: 2","29479","3","4","6","02","21","4","","2","0","1","1","0"
"POINT (8.515451400000074 52.012819051000065)","Unfall 29512 (2024) Kat:3, Licht: 0","29512","3","7","0","03","13","3","","0","1","0","0","1"
"POINT (8.462279564000028 51.979485984000064)","Unfall 29547 (2024) Kat:3, Licht: 0","29547","3","3","5","02","10","3","","0","0","1","0","0"
"POINT (8.559959231000050 52.004364531000078)","Unfall 29548 (2024) Kat:3, Licht: 0","29548","3","6","1","02","08","3","","0","0","1","0","0"
"POINT (8.600995567000041 52.058771438000065)","Unfall 29551 (2024) Kat:3, Licht: 2","29551","3","3","5","02","05","3","","2","0","1","0","0"
"POINT (8.527984494000066 52.022056650000081)","Unfall 29653 (2024) Kat:2, Licht: 2","29653","2","2","6","02","19","2","","2","0","1","1","0"
"POINT (8.607732131000034 51.969254482000053)","Unfall 29656 (2024) Kat:3, Licht: 0","29656","3","6","3","02","17","3","","0","0","1","0","0"
"POINT (8.514126594000061 51.987108302000081)","Unfall 29784 (2024) Kat:3, Licht: 2","29784","3","1","0","03","19","7","","2","0","0","0","0"
"POINT (8.515268820000074 51.940801545000056)","Unfall 29804 (2024) Kat:2, Licht: 0","29804","2","6","2","02","14","7","","0","0","1","0","0"
"POINT (8.516109335000067 52.013112886000044)","Unfall 29805 (2024) Kat:3, Licht: 0","29805","3","6","2","02","13","7","","0","0","1","0","0"
"POINT (8.605343618000063 52.040808750000053)","Unfall 29807 (2024) Kat:3, Licht: 0","29807","3","2","5","02","17","7","","0","1","1","0","0"
"POINT (8.598464812000032 52.018687602000057)","Unfall 29817 (2024) Kat:3, Licht: 0","29817","3","4","6","02","16","2","","0","0","1","1","0"
"POINT (8.518012770000041 52.014449816000081)","Unfall 29992 (2024) Kat:3, Licht: 0","29992","3","7","2","02","15","5","","0","0","1","0","0"
"POINT (8.606827116000034 51.997665010000048)","Unfall 29993 (2024) Kat:3, Licht: 2","29993","3","6","2","02","22","5","","2","0","1","0","0"
"POINT (8.565508011000077 52.024249429000065)","Unfall 29996 (2024) Kat:3, Licht: 0","29996","3","2","5","02","13","5","","0","1","1","0","0"
"POINT (8.558735711000054 52.003306317000067)","Unfall 29997 (2024) Kat:3, Licht: 0","29997","3","2","3","02","08","5","","0","0","1","0","0"
"POINT (8.543588681000074 52.037848072000031)","Unfall 29998 (2024) Kat:3, Licht: 0","29998","3","3","0","02","09","5","","0","0","1","0","0"
"POINT (8.515386240000055 51.942405891000078)","Unfall 30053 (2024) Kat:3, Licht: 2","30053","3","3","2","03","19","5","","2","0","1","0","0"
"POINT (8.544060574000071 52.029854891000070)","Unfall 30137 (2024) Kat:3, Licht: 0","30137","3","6","2","02","15","4","","0","0","1","0","0"
"POINT (8.516477353000028 52.071645334000038)","Unfall 30138 (2024) Kat:3, Licht: 0","30138","3","1","1","02","15","4","","0","0","1","0","0"
