WKT,Name,OBJECTID,UKATEGORIE,UTYP1,UART,UMONAT,USTUNDE,UWOCHENTAG,STRZUSTAND,ULICHTVERH,ISTRAD,ISTPKW,ISTFUSS,ISTKRAD
"POINT (9.832300816000043 52.386086841000065)",Unfall 12118 (2017) Kat:3, Licht: 0,12118,3,7,6,03,16,5,0,0,0,1,1,0
"POINT (9.728051993000065 52.336203272000034)",Unfall 12120 (2017) Kat:3, Licht: 0,12120,3,6,2,03,15,5,0,0,0,1,0,1
"POINT (9.778113911000048 52.371443951000060)",Unfall 12158 (2017) Kat:3, Licht: 0,12158,3,2,5,03,17,3,0,0,0,1,0,0
"POINT (9.735842386000059 52.399371977000044)",Unfall 12162 (2017) Kat:2, Licht: 0,12162,2,2,5,03,11,3,0,0,1,0,0,0
"POINT (9.623890824000057 52.425416570000039)",Unfall 12211 (2017) Kat:3, Licht: 2,12211,3,6,2,03,19,4,0,2,0,1,0,0
"POINT (9.713419309000074 52.361932520000039)",Unfall 12212 (2017) Kat:3, Licht: 0,12212,3,6,2,03,13,4,0,0,0,1,0,0
"POINT (9.749452305000034 52.369240530000070)",Unfall 12213 (2017) Kat:3, Licht: 0,12213,3,6,2,03,12,4,0,0,0,1,0,0
"POINT (9.714961585000026 52.361878248000039)",Unfall 12227 (2017) Kat:3, Licht: 0,12227,3,6,2,03,13,2,0,0,0,1,0,0
"POINT (9.705104957000060 52.430243305000033)",Unfall 12228 (2017) Kat:2, Licht: 2,12228,2,7,0,03,01,4,0,2,0,0,0,0
"POINT (9.810745135000047 52.382633807000047)",Unfall 12231 (2017) Kat:3, Licht: 2,12231,3,2,2,03,20,2,1,2,0,1,0,0
"POINT (9.775991706000070 52.371114347000059)",Unfall 12232 (2017) Kat:3, Licht: 1,12232,3,6,2,03,18,2,1,1,0,1,0,0
"POINT (9.856655834000037 52.388506662000054)",Unfall 12241 (2017) Kat:3, Licht: 0,12241,3,2,2,03,10,2,1,0,0,1,0,0
"POINT (9.799412237000070 52.409542989000045)",Unfall 12243 (2017) Kat:3, Licht: 0,12243,3,3,5,03,11,2,0,0,1,1,0,0
"POINT (9.722781637000026 52.337510306000070)",Unfall 12259 (2017) Kat:3, Licht: 0,12259,3,7,2,03,13,2,0,0,0,1,0,0
