WKT,Name,OBJECTID,UKATEGORIE,UTYP1,UART,UMONAT,USTUNDE,UWOCHENTAG,STRZUSTAND,ULICHTVERH,ISTRAD,ISTPKW,ISTFUSS,ISTKRAD
"POINT (9.631352790000051 52.505854174000035)",Unfall 20098 (2017) Kat:3,20098,3,3,5,08,15,4,0,,0,1,0,0
"POINT (9.667588148000050 52.341089891000081)",Unfall 20099 (2017) Kat:2,20099,2,4,6,08,13,4,0,,0,0,1,0
"POINT (9.754306709000048 52.355369707000079)",Unfall 20100 (2017) Kat:3,20100,3,2,0,08,08,4,0,,1,1,0,0
"POINT (9.796716588000038 52.415875431000075)",Unfall 20156 (2017) Kat:3,20156,3,6,0,08,15,3,0,,0,1,0,1
"POINT (9.602498923000042 52.394074723000074)",Unfall 20157 (2017) Kat:3,20157,3,1,0,08,17,3,0,,0,0,0,1
"POINT (9.757145071000025 52.319681947000049)",Unfall 20158 (2017) Kat:3,20158,3,3,5,08,18,3,0,,1,1,0,0
"POINT (9.478959768000038 52.367322026000068)",Unfall 20159 (2017) Kat:3,20159,3,2,5,08,18,3,0,,0,1,0,0
"POINT (9.466021774000069 52.304034554000054)",Unfall 20160 (2017) Kat:3,20160,3,2,2,08,10,3,0,,0,1,0,0
"POINT (9.907712341000035 52.355772033000051)",Unfall 20161 (2017) Kat:3,20161,3,3,5,08,16,3,0,,0,1,0,0
"POINT (9.786833977000072 52.390023877000033)",Unfall 20162 (2017) Kat:3,20162,3,6,2,08,21,3,0,,0,1,0,0
"POINT (9.862350277000076 52.371472653000069)",Unfall 20163 (2017) Kat:3,20163,3,1,0,08,07,3,0,,0,0,0,1
"POINT (9.738674494000065 52.609277257000031)",Unfall 20164 (2017) Kat:3,20164,3,7,8,08,00,3,0,,0,1,0,0
"POINT (9.827678936000041 52.354923702000065)",Unfall 20215 (2017) Kat:3,20215,3,6,2,08,19,2,0,,0,1,0,0
"POINT (9.794166090000033 52.394505085000048)",Unfall 20216 (2017) Kat:3,20216,3,2,3,08,09,2,0,,0,1,0,0
"POINT (9.378377963000048 52.456262220000042)",Unfall 20217 (2017) Kat:3,20217,3,6,2,08,15,2,0,,0,1,0,1
"POINT (9.400722911000059 52.424475750000056)",Unfall 20218 (2017) Kat:3,20218,3,2,5,08,15,2,0,,0,1,0,0
"POINT (9.465069663000065 52.515952051000056)",Unfall 20219 (2017) Kat:3,20219,3,6,2,08,14,2,0,,0,1,0,0
"POINT (10.021996010000066 52.384743442000058)",Unfall 20220 (2017) Kat:3,20220,3,2,2,08,17,2,0,,0,1,0,1
"POINT (9.842303575000074 52.424168702000031)",Unfall 20221 (2017) Kat:3,20221,3,1,9,08,11,2,0,,1,0,0,0
"POINT (9.573887426000056 52.282500250000055)",Unfall 20222 (2017) Kat:2,20222,2,3,5,08,14,2,0,,0,1,0,0
"POINT (9.830415665000032 52.361078330000055)",Unfall 20223 (2017) Kat:3,20223,3,7,0,08,10,2,0,,1,0,0,0
"POINT (9.356784993000076 52.447474784000065)",Unfall 20257 (2017) Kat:3,20257,3,1,9,08,00,1,1,,1,0,0,0
"POINT (9.742799230000060 52.427511216000028)",Unfall 20258 (2017) Kat:2,20258,2,1,8,08,15,1,0,,0,0,0,1
"POINT (9.437085581000076 52.467088158000081)",Unfall 20259 (2017) Kat:3,20259,3,1,8,08,01,1,1,,0,1,0,0
"POINT (9.691619799000023 52.430148147000068)",Unfall 20260 (2017) Kat:3,20260,3,7,2,08,01,1,1,,0,1,0,0
"POINT (9.733891364000044 52.368912332000036)",Unfall 20303 (2017) Kat:3,20303,3,2,5,08,15,7,0,,1,1,0,0
"POINT (9.737177113000030 52.427241141000081)",Unfall 20304 (2017) Kat:3,20304,3,6,2,08,12,7,0,,0,1,0,0
"POINT (9.424380390000067 52.429428530000052)",Unfall 20351 (2017) Kat:3,20351,3,3,5,08,10,6,0,,1,1,0,0
"POINT (9.472307227000044 52.388411692000034)",Unfall 20352 (2017) Kat:3,20352,3,2,5,08,07,6,0,,0,0,0,1
"POINT (9.464041628000075 52.399387725000054)",Unfall 20353 (2017) Kat:3,20353,3,6,2,08,07,6,0,,0,1,0,0
"POINT (9.645054878000053 52.397228671000050)",Unfall 20354 (2017) Kat:3,20354,3,4,6,08,14,6,0,,0,1,1,0
"POINT (9.740795887000047 52.461297708000075)",Unfall 20355 (2017) Kat:3,20355,3,6,0,08,12,6,0,,1,0,1,0
"POINT (9.642006323000032 52.414656399000080)",Unfall 20356 (2017) Kat:3,20356,3,6,2,08,19,6,0,,0,1,0,0
"POINT (9.832316053000056 52.418376702000046)",Unfall 20357 (2017) Kat:3,20357,3,6,2,08,16,6,0,,0,1,0,0
"POINT (9.826298312000063 52.289649036000071)",Unfall 20358 (2017) Kat:3,20358,3,2,5,08,09,6,0,,1,0,0,0
"POINT (9.833403572000066 52.419268250000073)",Unfall 20359 (2017) Kat:3,20359,3,3,5,08,08,6,0,,0,1,0,0
"POINT (9.653391741000064 52.409007470000063)",Unfall 20394 (2017) Kat:3,20394,3,6,2,09,17,4,1,,0,1,0,0
"POINT (9.641942209000035 52.414677073000064)",Unfall 20395 (2017) Kat:3,20395,3,6,2,09,13,4,0,,0,1,0,0
"POINT (9.647080464000055 52.413608007000050)",Unfall 20396 (2017) Kat:3,20396,3,3,5,09,06,4,1,,0,1,0,0
"POINT (9.456867686000066 52.499695911000060)",Unfall 20397 (2017) Kat:3,20397,3,3,5,09,11,4,1,,0,1,0,0
"POINT (9.605112047000034 52.453442473000052)",Unfall 20398 (2017) Kat:3,20398,3,3,5,09,16,4,0,,0,1,0,1
"POINT (9.610604755000054 52.466388075000054)",Unfall 20399 (2017) Kat:3,20399,3,5,1,09,04,4,1,,0,1,0,0
"POINT (9.998349515000029 52.451403375000041)",Unfall 20400 (2017) Kat:3,20400,3,1,8,09,13,4,1,,0,1,0,0
"POINT (9.928668524000045 52.394051658000080)",Unfall 20401 (2017) Kat:2,20401,2,7,8,09,18,4,0,,0,1,0,0
"POINT (9.802028158000042 52.432966467000028)",Unfall 20402 (2017) Kat:3,20402,3,2,2,09,14,4,1,,0,1,0,0
"POINT (9.866643456000077 52.309020247000035)",Unfall 20403 (2017) Kat:3,20403,3,7,7,09,06,4,1,,1,0,0,0
