WKT,Name,OBJECTID,UKATEGORIE,UTYP1,UART,UMONAT,USTUNDE,UWOCHENTAG,STRZUSTAND,ULICHTVERH,ISTRAD,ISTPKW,ISTFUSS,ISTKRAD
"POINT (9.719577096000023 52.392439146000072)",Unfall 63 (2024) Kat:2, Licht: 0,63,2,1,6,02,16,3,,0,1,0,1,0
"POINT (9.609096116000046 52.405950355000073)",Unfall 64 (2024) Kat:3, Licht: 2,64,3,3,5,02,18,1,,2,1,1,0,0
"POINT (9.827224682000065 52.346013467000034)",Unfall 65 (2024) Kat:3, Licht: 2,65,3,3,5,02,19,7,,2,1,1,0,0
"POINT (9.791916702000037 52.335036380000076)",Unfall 66 (2024) Kat:3, Licht: 1,66,3,3,5,02,07,2,,1,1,1,0,0
"POINT (9.451950631000045 52.431773956000029)",Unfall 67 (2024) Kat:2, Licht: 2,67,2,6,3,02,07,2,,2,1,1,0,0
"POINT (9.611307258000068 52.433174153000039)",Unfall 68 (2024) Kat:3, Licht: 0,68,3,3,5,02,11,2,,0,1,1,0,0
"POINT (9.730993998000031 52.383626022000044)",Unfall 69 (2024) Kat:3, Licht: 2,69,3,3,5,02,04,2,,2,1,1,0,0
"POINT (9.648909912000022 52.412460024000040)",Unfall 70 (2024) Kat:3, Licht: 2,70,3,1,0,02,04,1,,2,1,0,0,0
"POINT (9.911867186000052 52.355731366000043)",Unfall 71 (2024) Kat:3, Licht: 0,71,3,6,4,05,20,3,,0,1,0,0,0
"POINT (9.964691149000032 52.373225544000036)",Unfall 72 (2024) Kat:2, Licht: 0,72,2,2,4,05,12,2,,0,1,1,0,0
"POINT (9.852395572000034 52.389837617000069)",Unfall 73 (2024) Kat:3, Licht: 0,73,3,2,5,05,17,6,,0,1,1,0,0
"POINT (9.519374629000026 52.272849011000062)",Unfall 74 (2024) Kat:3, Licht: 0,74,3,6,4,05,17,5,,0,1,0,0,0
"POINT (9.646271724000030 52.446137346000057)",Unfall 75 (2024) Kat:3, Licht: 0,75,3,1,0,05,18,5,,0,1,0,0,0
"POINT (9.727071006000074 52.366908632000047)",Unfall 76 (2024) Kat:3, Licht: 0,76,3,1,0,05,18,5,,0,1,0,0,0
"POINT (9.828653073000055 52.360890049000034)",Unfall 77 (2024) Kat:3, Licht: 0,77,3,4,6,05,17,4,,0,1,0,1,0
"POINT (9.492434965000029 52.279588450000062)",Unfall 78 (2024) Kat:3, Licht: 0,78,3,1,4,05,18,4,,0,1,1,0,0
"POINT (9.739866729000028 52.319802799000058)",Unfall 79 (2024) Kat:3, Licht: 0,79,3,3,5,05,09,3,,0,1,1,0,0
"POINT (9.966010390000065 52.315593695000075)",Unfall 80 (2024) Kat:3, Licht: 0,80,3,3,5,05,13,3,,0,1,1,0,0
"POINT (10.265333945000066 52.478705449000074)",Unfall 81 (2024) Kat:3, Licht: 0,81,3,2,5,05,18,3,,0,1,1,0,0
"POINT (9.734023330000070 52.387096557000064)",Unfall 82 (2024) Kat:3, Licht: 0,82,3,2,5,05,06,3,,0,1,1,0,0
"POINT (10.020100452000065 52.454622486000062)",Unfall 83 (2024) Kat:3, Licht: 2,83,3,7,0,05,01,1,,2,1,0,0,0
"POINT (9.740585186000033 52.368282023000063)",Unfall 84 (2024) Kat:3, Licht: 2,84,3,7,0,05,22,7,,2,1,0,0,0
"POINT (9.444646970000065 52.474780347000035)",Unfall 85 (2024) Kat:3, Licht: 0,85,3,1,0,05,14,7,,0,1,0,0,0
"POINT (9.707824186000039 52.423694999000077)",Unfall 86 (2024) Kat:3, Licht: 0,86,3,7,2,05,15,5,,0,1,0,0,0
"POINT (9.702539434000073 52.364461097000060)",Unfall 87 (2024) Kat:3, Licht: 0,87,3,7,0,05,18,5,,0,1,0,0,0
"POINT (9.771676488000026 52.334818413000050)",Unfall 88 (2024) Kat:2, Licht: 0,88,2,3,5,05,14,5,,0,1,0,0,0
"POINT (9.665087043000028 52.357612607000078)",Unfall 89 (2024) Kat:3, Licht: 0,89,3,5,1,05,11,5,,0,1,1,0,0
"POINT (9.355400398000029 52.444899666000026)",Unfall 90 (2024) Kat:3, Licht: 0,90,3,6,4,05,16,4,,0,1,0,0,0
