WKT,Name,OBJECTID,UKATEGORIE,UTYP1,UART,UMONAT,USTUNDE,UWOCHENTAG,STRZUSTAND,ULICHTVERH,ISTRAD,ISTPKW,ISTFUSS,ISTKRAD
"POINT (7.094503407000047 50.730392807000044)",Unfall 100812 (2019) Kat:3, Licht: 0,100812,3,2,3,02,09,2,0,0,1,1,0,0
"POINT (7.117330772000059 50.739296748000072)",Unfall 101295 (2019) Kat:3, Licht: 0,101295,3,2,5,02,12,4,0,0,1,1,0,0
"POINT (7.078454532000023 50.741395514000033)",Unfall 101296 (2019) Kat:3, Licht: 0,101296,3,3,5,02,16,4,0,0,0,1,0,1
"POINT (7.100093279000021 50.739326213000027)",Unfall 101561 (2019) Kat:3, Licht: 2,101561,3,5,1,03,20,3,0,2,1,1,0,0
"POINT (7.074993293000034 50.682665271000076)",Unfall 101645 (2019) Kat:3, Licht: 0,101645,3,6,2,03,15,5,0,0,0,1,0,0
"POINT (7.080796116000045 50.738038028000062)",Unfall 101648 (2019) Kat:3, Licht: 2,101648,3,4,6,03,20,5,1,2,0,1,1,0
"POINT (7.166922227000043 50.678248065000048)",Unfall 101720 (2019) Kat:3, Licht: 0,101720,3,2,6,03,16,2,1,0,0,1,1,0
"POINT (7.117313317000026 50.719141837000052)",Unfall 101722 (2019) Kat:3, Licht: 0,101722,3,1,9,03,15,2,1,0,0,1,0,0
"POINT (7.144880827000065 50.719987314000036)",Unfall 102044 (2019) Kat:3, Licht: 2,102044,3,1,8,03,05,7,1,2,0,1,0,0
"POINT (7.115753958000028 50.739060717000029)",Unfall 102155 (2019) Kat:3, Licht: 0,102155,3,3,5,03,17,5,1,0,0,1,0,0
"POINT (7.134926828000062 50.731602964000047)",Unfall 102156 (2019) Kat:2, Licht: 0,102156,2,7,9,03,14,5,1,0,0,1,0,0
"POINT (7.100557584000057 50.742786230000036)",Unfall 102158 (2019) Kat:3, Licht: 2,102158,3,5,1,03,18,5,1,2,1,1,0,0
"POINT (7.150408675000051 50.733343867000031)",Unfall 102172 (2019) Kat:3, Licht: 2,102172,3,1,9,03,21,6,1,2,0,0,0,0
"POINT (7.104724545000067 50.736237140000071)",Unfall 102225 (2019) Kat:3, Licht: 2,102225,3,5,2,03,19,2,1,2,1,1,0,0
